run_id,mode,order,candidate_order,output_order,truncation_range_split,validation_mode,cutoff_threshold,target_remainder_radius,center_correction_width_factor,selective_high_degree_terms_top_k,selective_retained_terms_count,selective_dropped_terms_count,selective_nonretained_terms_count,selective_dropped_remainder_width_sum,selective_total_dropped_width_sum,segment_index,status,validation_attempts,t_lo,t_hi,h,x_lo,x_hi,y_lo,y_hi,width_x,width_y,width_sum,step_rejections,next_h,message
flowstar_style_o6_candidate8_output6_keep4_centered,flowstar_style,6,8,6,,target_remainder_centered,,0.0001,1.05,4,8,57,49,2.3793784651409572e-05,0.0010530996146855588,87,validated,1,2.2503012849893547,2.2554552000145875,0.0051539150252328065,-0.67578101876965724,2.6351883493895429,-6.0816976397683487,4.1575272107380172,3.3109693681592001,10.239224850506366,13.550194218665567,1,0.0077308725378492094,
flowstar_style_o6_candidate8_output6_keep4_centered,flowstar_style,6,8,6,,target_remainder_centered,,0.0001,1.05,4,8,57,49,1.0658365669377118e-05,0.0006324056402167062,88,validated,1,2.2554552000145875,2.2593206362835123,0.0038654362689246047,-0.69954093353384394,2.6515144067192513,-6.21218968659689,4.2898912176503563,3.3510553402530951,10.502080904247247,13.853136244500343,1,0.005798154403386907,
flowstar_style_o6_candidate8_output6_keep4_centered,flowstar_style,6,8,6,,target_remainder_centered,,0.0001,1.05,4,8,57,49,3.9462057824842282e-05,0.0016021332962710174,89,validated,1,2.2593206362835123,2.2651187906868993,0.005798154403386907,-0.73615098982268801,2.6769876742964915,-6.4171370535847316,4.4976065557767857,3.4131386641191797,10.914743609361517,14.327882273480697,0,0.0086972316050803605,
flowstar_style_o6_candidate8_output6_keep4_centered,flowstar_style,6,8,6,,target_remainder_centered,,0.0001,1.05,4,8,57,49,1.7873239839024434e-05,0.00097401626481862912,90,validated,1,2.2651187906868993,2.2694674064894396,0.0043486158025401803,-0.76440848875151179,2.6969039738585363,-6.5795904320512637,4.6626614261018657,3.461312462610048,11.242251858153129,14.703564320763176,1,0.0065229237038102704,
flowstar_style_o6_candidate8_output6_keep4_centered,flowstar_style,6,8,6,,target_remainder_centered,,0.0001,1.05,4,8,57,49,7.9613562879025391e-06,0.00058149198768841224,91,validated,1,2.2694674064894396,2.2727288683413449,0.0032614618519051352,-0.78607435615649068,2.7123217527060239,-6.7067048919281005,4.7920459675365219,3.4983961088625146,11.498750859464621,14.997146968327137,1,0.0048921927778577028,
flowstar_style_o6_candidate8_output6_keep4_centered,flowstar_style,6,8,6,,target_remainder_centered,,0.0001,1.05,4,8,57,49,2.9158295373059986e-05,0.0014511514444304889,92,validated,1,2.2727288683413449,2.2776210611192025,0.0048921927778577028,-0.81936849011911428,2.736257925998296,-6.905435471570871,4.994142751748659,3.55562641611741,11.89957822331953,15.455204639436939,0,0.0073382891667865546,
flowstar_style_o6_candidate8_output6_keep4_centered,flowstar_style,6,8,6,,target_remainder_centered,,0.0001,1.05,4,8,57,49,1.3113375469533875e-05,0.00087562701162507636,93,validated,1,2.2776210611192025,2.2812902057025957,0.0036691445833932773,-0.84499182033195075,2.7548741848930898,-7.0620311417000918,5.1536959904009461,3.5998660052250404,12.215727132101037,15.815593137326077,1,0.005503716875089916,
flowstar_style_o6_candidate8_output6_keep4_centered,flowstar_style,6,8,6,,target_remainder_centered,,0.0001,1.05,4,8,57,49,4.8634027822285304e-05,0.0022177273095214021,94,validated,1,2.2812902057025957,2.2867939225776857,0.005503716875089916,-0.88453346477579742,2.7839260067472393,-7.3086285264594197,5.404669374724854,3.668459471523037,12.713297901184273,16.381757372707309,0,0.008255575312634874,
flowstar_style_o6_candidate8_output6_keep4_centered,flowstar_style,6,8,6,,target_remainder_centered,,0.0001,1.05,4,8,57,49,2.2131820689938173e-05,0.0013558100889328403,95,validated,1,2.2867939225776857,2.2909217102340032,0.004127787656317437,-0.91510452713992851,2.8066464217367226,-7.5046065639326134,5.6045225855824485,3.7217509488766511,13.109129149515063,16.830880098391713,1,0.0061916814844761555,
flowstar_style_o6_candidate8_output6_keep4_centered,flowstar_style,6,8,6,,target_remainder_centered,,0.0001,1.05,4,8,57,49,9.8941863951488939e-06,0.00081290676438297365,96,validated,1,2.2909217102340032,2.2940175509762413,0.0030958407422380777,-0.93857470828675493,2.8242395264588906,-7.6582653154124065,5.7614487473146001,3.7628142347456457,13.419714062727007,17.182528297472651,1,0.0046437611133571168,
flowstar_style_o6_candidate8_output6_keep4_centered,flowstar_style,6,8,6,,target_remainder_centered,,0.0001,1.05,4,8,57,49,3.6304151968200817e-05,0.0020289607754756223,97,validated,1,2.2940175509762413,2.2986613120895982,0.0046437611133571168,-0.97469374987916002,2.8515622094143893,-7.8990932146618382,6.0071174345283689,3.8262559592935492,13.906210649190207,17.732466608483755,0,0.0069656416700356752,
flowstar_style_o6_candidate8_output6_keep4_centered,flowstar_style,6,8,6,,target_remainder_centered,,0.0001,1.05,4,8,57,49,1.6397737402467636e-05,0.0012304247061089989,98,validated,1,2.2986613120895982,2.3021441329246159,0.0034828208350178376,-1.0025347738032717,2.8728213456277709,-8.0893283221229115,6.2014729830062212,3.8753561194310429,14.290801305129133,18.166157424560176,1,0.0052242312525267566,
flowstar_style_o6_candidate8_output6_keep4_centered,flowstar_style,6,8,6,,target_remainder_centered,,0.0001,1.05,4,8,57,49,7.2878731339319336e-06,0.00073305983492124129,99,validated,1,2.3021441329246159,2.3047562485508792,0.0026121156262633783,-1.0238583977967457,2.8892182527946528,-8.2377777391938238,6.3533085744062907,3.9130766505913988,14.591086313600115,18.504162964191515,1,0.0039181734393950677,
flowstar_style_o6_candidate8_output6_keep4_centered,flowstar_style,6,8,6,,target_remainder_centered,,0.0001,1.05,4,8,57,49,2.6480256823006669e-05,0.0018058580871226726,100,validated,1,2.3047562485508792,2.3086744219902742,0.0039181734393950677,-1.0565867790934504,2.9145733308725106,-8.4693791178407558,6.589931242571633,3.971160109965961,15.05931036041239,19.030470470378351,0,0.0058772601590926015,
flowstar_style_o6_candidate8_output6_keep4_centered,flowstar_style,6,8,6,,target_remainder_centered,,0.0001,1.05,4,8,57,49,1.1874246303257366e-05,0.0010865220123965652,101,validated,1,2.3086744219902742,2.3116130520698204,0.0029386300795463008,-1.0817414475527407,2.9342113588388639,-8.651280518373655,6.7759965503614001,4.0159528063916046,15.427277068735055,19.443229875126661,1,0.0044079451193194509,
flowstar_style_o6_candidate8_output6_keep4_centered,flowstar_style,6,8,6,,target_remainder_centered,,0.0001,1.05,4,8,57,49,5.2397467790347685e-06,0.0006433541645128356,102,validated,1,2.3116130520698204,2.31381702462948,0.0022039725596597255,-1.1009640097818492,2.9493046597345716,-8.7925947005775935,6.9206722654466581,4.0502686695164209,15.713266966024252,19.763535635540673,1,0.0033059588394895884,
flowstar_style_o6_candidate8_output6_keep4_centered,flowstar_style,6,8,6,,target_remainder_centered,,0.0001,1.05,4,8,57,49,1.8743064248805644e-05,0.0015664519655146588,103,validated,1,2.31381702462948,2.3171229834689697,0.0033059588394895884,-1.1303931395435141,2.9725539079506986,-9.0121089297324986,7.1451752295059814,4.1029470474942125,16.157284159238479,20.260231206732691,0,0.0049589382592343826,
