===== brusselator_steps_1_20 =====
         14937532 function calls (14936572 primitive calls) in 42.272 seconds

   Ordered by: cumulative time
   List reduced from 522 to 180 due to restriction <180>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      100    0.000    0.000    1.656    0.017 flowpipe.py:1798(_right_map_range_box_for_mode)
     1012    0.045    0.000    1.570    0.002 batched_dense_tm.py:4157(_validated_remainder_decomposition)
     2828    0.058    0.000    1.535    0.001 polynomial.py:204(__add__)
    48168    0.368    0.000    1.486    0.000 batched_dense_tm.py:1130(<setcomp>)
    50656    0.774    0.000    1.467    0.000 batched_dense_tm.py:2234(__post_init__)
   225951    0.415    0.000    1.459    0.000 polynomial.py:107(_coef)
    30288    1.283    0.000    1.427    0.000 batched_dense_tm.py:1011(_split_leaf_pair)
  3731055    1.413    0.000    1.413    0.000 {built-in method torch.is_floating_point}
    29900    0.041    0.000    1.360    0.000 symbolic_remainder.py:172(_zero_interval_like_interval)
    86828    0.203    0.000    1.301    0.000 flowpipe.py:477(_float_or_none)
    23516    0.105    0.000    1.292    0.000 batched_dense_tm.py:2329(_check_domain)
    35168    0.072    0.000    1.235    0.000 flowpipe.py:485(_interval_width_value)
     1612    0.005    0.000    1.205    0.001 batched_dense_tm.py:2391(__rsub__)
   385649    1.164    0.000    1.164    0.000 {built-in method torch.maximum}
     4136    0.020    0.000    1.144    0.000 batched_dense_tm.py:2377(add)
    31368    0.029    0.000    1.138    0.000 flowpipe.py:1356(_interval_width_float)
   395840    1.138    0.000    1.138    0.000 {method 'unbind' of 'torch._C.TensorBase' objects}
      100    0.000    0.000    1.128    0.011 flowpipe.py:4630(_tmvector_range_box_normal)
      100    0.000    0.000    1.128    0.011 flowpipe.py:4636(<listcomp>)
    66496    0.390    0.000    1.121    0.000 batched_dense_tm.py:348(_interval_add)
    47232    1.100    0.000    1.100    0.000 {built-in method torch.allclose}
   328597    1.026    0.000    1.026    0.000 {built-in method torch.minimum}
   561034    1.012    0.000    1.012    0.000 {method 'detach' of 'torch._C.TensorBase' objects}
     5148    0.006    0.000    0.987    0.000 batched_dense_tm.py:290(negate)
     1824    0.004    0.000    0.982    0.001 batched_dense_tm.py:3458(__sub__)
     5148    0.061    0.000    0.981    0.000 batched_dense_tm.py:283(scale)
  4024099    0.962    0.000    0.962    0.000 {method 'numel' of 'torch._C.TensorBase' objects}
     1012    0.058    0.000    0.935    0.001 batched_dense_tm.py:300(complete)
     1626    0.014    0.000    0.922    0.001 taylor_model.py:240(__add__)
     7572    0.064    0.000    0.899    0.000 batched_dense_tm.py:2273(constants_like)
     9384    0.053    0.000    0.872    0.000 batched_dense_tm.py:277(merge)
      912    0.003    0.000    0.856    0.001 batched_dense_tm.py:3462(__rsub__)
    11496    0.132    0.000    0.841    0.000 batched_dense_tm.py:2617(component)
     1426    0.007    0.000    0.825    0.001 flowpipe.py:1382(_tm_apply_cutoff_for_horner)
     2524    0.027    0.000    0.803    0.000 batched_dense_tm.py:2632(concat)
    14094    0.102    0.000    0.793    0.000 interval.py:141(__sub__)
     5048    0.074    0.000    0.783    0.000 batched_dense_tm.py:2672(domain)
   154600    0.782    0.000    0.782    0.000 {method 'sum' of 'torch._C.TensorBase' objects}
     9672    0.006    0.000    0.710    0.000 batched_dense_tm.py:2692(__getitem__)
    78456    0.680    0.000    0.680    0.000 {built-in method torch.tensor}
     5048    0.018    0.000    0.631    0.000 batched_dense_tm.py:2679(<listcomp>)
