boundary,component,control,hi,lo,stage,units,width
50,0,C4,0.9761703344022622,-0.8218722917786901,A0,old normalized,1.7980426261809523
50,1,C4,0.9819845711743936,-0.8689063000981531,A0,old normalized,1.8508908712725467
50,0,C4,0.023829665597736246,-0.022876572305722407,A1,old normalized,0.04670623790345865
50,1,C4,0.01801542882560522,-0.017249645366479084,A1,old normalized,0.0352650741920843
50,0,C4,8e-323,-8e-323,A2,old normalized,1.6e-322
50,1,C4,8e-323,-8e-323,A2,old normalized,1.6e-322
50,0,C4,0.02382966559773625,-0.02287657230572241,A3,old normalized,0.04670623790345866
50,1,C4,0.018015428825605223,-0.017249645366479088,A3,old normalized,0.035265074192084314
50,0,C4,0.025859657080681716,-0.02482749881451062,B0,new normalized,0.050687155895192335
50,1,C4,0.01983495583488679,-0.018985758138686283,B0,new normalized,0.038820713973573076
50,0,C4,1.9374310819001144,1.8523512467190555,B1,endpoint physical,0.08507983518105888
50,1,C4,-0.39709041990741434,-0.49923467981762326,B1,endpoint physical,0.10214425991020892
50,0,C4,0.9999999999999984,-0.8447488640844125,B2,old normalized,1.844748864084411
50,1,C4,0.9999999999999989,-0.8861559454646322,B2,old normalized,1.886155945464631
50,0,C4,8e-323,-8e-323,B3,old normalized,1.6e-322
50,1,C4,8e-323,-8e-323,B3,old normalized,1.6e-322
50,0,C4,0.043749928239138335,0.04373130104909705,B4,endpoint physical,1.862719004128155e-05
50,1,C4,0.0023251004758530216,0.0023093956750260126,B4,endpoint physical,1.570480082700894e-05
50,0,C4,0.0010844338419987356,-0.0010409555553827115,B5,endpoint physical,0.0021253893973814473
50,1,C4,0.0009907981253431464,-0.000948773067603092,B5,endpoint physical,0.0019395711929462386
50,0,C4,2e-323,-2e-323,B6,endpoint physical,4e-323
50,1,C4,2e-323,-2e-323,B6,endpoint physical,4e-323
50,0,C4,1.53e-322,-1.53e-322,B7,endpoint physical,3.06e-322
50,1,C4,1.53e-322,-1.53e-322,B7,endpoint physical,3.06e-322
50,0,C4,5e-324,-5e-324,B8,physical source,1e-323
50,1,C4,2.0781173542999345e-06,2.0781173542999336e-06,B8,physical source,8.470329472543003e-22
50,0,C4,2e-323,-2e-323,B9,physical source,4e-323
50,1,C4,2.342295997919822e-05,-2.342295997919822e-05,B9,physical source,4.684591995839644e-05
50,0,C4,4.168712264193744e-06,-4.168712264193744e-06,B10,physical source,8.337424528387489e-06
50,1,C4,3.4542394392054695e-05,-3.448361993863256e-05,B10,physical source,6.902601433068726e-05
50,0,C4,0.02585857638283593,-0.024825796704841765,B11,new normalized,0.050684373087677696
50,1,C4,0.01979978431132565,-0.01892853658592511,B11,new normalized,0.038728320897250756
50,0,C4,1.0806978461526437e-06,-1.702109669220607e-06,B12,new normalized,2.7828075153732507e-06
50,1,C4,3.5171523561421274e-05,-5.722155276145518e-05,B12,new normalized,9.239307632287645e-05
50,0,C4,0.025859657080682087,-0.02482749881451099,B13,new normalized,0.05068715589519308
50,1,C4,0.019834955834887074,-0.01898575813868657,B13,new normalized,0.038820713973573645
50,0,C4,0.025859657080682087,-0.02482749881451099,B14,new normalized,0.05068715589519308
