all_candidate_gates,attempted_diagnostic_immutable,boundary,decision,h_accepted_hex,scheduler_matches_historical,t_after,t_before,x_margin,y_margin
True,True,142,accepted,0x1.0bff0733dd49bp-5,True,4.115142205734573,4.082427825405852,9.67285589671279e-05,2.82458615926092e-05
True,True,143,accepted,0x1.26cbbb1f736abp-5,True,4.151128024096166,4.115142205734573,9.640141516384068e-05,1.4712401998076528e-05
True,True,144,accepted,0x1.44468108fef56p-6,True,4.170920224195042,4.151128024096166,9.802077699011237e-05,7.296301780028827e-05
True,True,145,accepted,0x1.64b3f456b20dfp-6,True,4.192691644303806,4.170920224195042,9.782285498912362e-05,6.855553693891923e-05
True,True,146,accepted,0x1.885f8cc5c3dc3p-6,True,4.216640206423446,4.192691644303806,9.760514078803597e-05,6.326056961899923e-05
True,True,147,accepted,0x1.af9c4e0cbdd8ap-6,True,4.242983624755051,4.216640206423446,9.736565516683958e-05,5.6908637805479246e-05
True,True,148,accepted,0x1.dac5890e0407fp-6,True,4.271961384919815,4.242983624755051,9.710222098352353e-05,4.925932048900078e-05
True,True,149,accepted,0x1.051fd82e1bd13p-5,True,4.303836921101056,4.271961384919815,9.681244338187589e-05,3.949845519066246e-05
True,True,150,accepted,0x1.1f3ca0ff84ffcp-5,True,4.338900010900422,4.303836921101056,9.649368802006347e-05,2.7214976157045482e-05
True,True,151,accepted,0x1.3bf5e44c457fcp-5,True,4.3774694096797235,4.338900010900422,9.614305712206981e-05,1.1662791374265745e-05
True,True,152,accepted,0x1.5b8e7b20b2d96p-6,True,4.39868257900834,4.3774694096797235,9.78786800671384e-05,7.058883659425357e-05
True,True,153,accepted,0x1.7e4fedd72b226p-6,True,4.422017065269817,4.39868257900834,9.766654837385224e-05,6.550256638613966e-05
True,True,154,accepted,0x1.a48b1f397c3f7p-6,True,4.447685000157443,4.422017065269817,9.743320351123746e-05,5.923234708650855e-05
True,True,155,accepted,0x1.ce9908bf3bdf7p-6,True,4.475919728533831,4.447685000157443,9.717652416236121e-05,5.142019841951746e-05
True,True,156,accepted,0x1.fcdb899f2842ap-6,True,4.506977929747857,4.475919728533831,9.689417687859732e-05,4.157742737056408e-05
