plant,step,t_end_exact,view,metric,component,baseline_lo_hex,baseline_hi_hex,candidate_lo_hex,candidate_hi_hex,baseline_width,candidate_width,width_ratio,bitwise_equal
brusselator,10,28823037615171175/144115188075855872,common,endpoint,y,0x1.33ca276169b31p+1,0x1.3df774a7275e7p+1,0x1.33ca276169b31p+1,0x1.3df774a7275e7p+1,0.07950750260655592,0.07950750260655592,1.0,True
brusselator,10,28823037615171175/144115188075855872,common,tube,x,0x1.ce6d885086ee1p+0,0x1.fac859581614ep+0,0x1.ce6d885086ee1p+0,0x1.fac859581614ep+0,0.1732607501463932,0.1732607501463932,1.0,True
brusselator,10,28823037615171175/144115188075855872,common,tube,y,0x1.331f005f37ec3p+1,0x1.46cfe7624cab5p+1,0x1.331f005f37ec3p+1,0x1.46cfe7624cab5p+1,0.1538361325306079,0.1538361325306079,1.0,True
brusselator,11,63410682753376585/288230376151711744,published,endpoint,x,0x1.e4bf61c3a6ee0p+0,0x1.03f6a49a84998p+1,0x1.e4bf61c3a6ee0p+0,0x1.03f6a49a84998p+1,0.13741919057999397,0.13741919057999397,1.0,True
brusselator,11,63410682753376585/288230376151711744,published,endpoint,y,0x1.2b3d1c1b48b20p+1,0x1.35de6b23a68fep+1,0x1.2b3d1c1b48b20p+1,0x1.35de6b23a68fep+1,0.08304775150803234,0.08304775150803234,1.0,True
brusselator,11,63410682753376585/288230376151711744,published,tube,x,0x1.d8e2e3408c69cp+0,0x1.03f99893a6623p+1,0x1.d8e2e3408c69cp+0,0x1.03f99893a6623p+1,0.1838425339086407,0.1838425339086407,1.0,True
brusselator,11,63410682753376585/288230376151711744,published,tube,y,0x1.2a823f02e56ddp+1,0x1.3eebfc52dd722p+1,0x1.2a823f02e56ddp+1,0x1.3eebfc52dd722p+1,0.1594769134972318,0.1594769134972318,1.0,True
brusselator,11,63410682753376585/288230376151711744,common,endpoint,x,0x1.e4bf61c3a6eedp+0,0x1.03f6a49a8498dp+1,0x1.e4bf61c3a6eedp+0,0x1.03f6a49a8498dp+1,0.1374191905799862,0.1374191905799862,1.0,True
brusselator,11,63410682753376585/288230376151711744,common,endpoint,y,0x1.2b3d1c1b48b2ep+1,0x1.35de6b23a68f0p+1,0x1.2b3d1c1b48b2ep+1,0x1.35de6b23a68f0p+1,0.0830477515080199,0.0830477515080199,1.0,True
brusselator,11,63410682753376585/288230376151711744,common,tube,x,0x1.d8e2e3408c6c5p+0,0x1.03f99893a6603p+1,0x1.d8e2e3408c6c5p+0,0x1.03f99893a6603p+1,0.18384253390861738,0.18384253390861738,1.0,True
brusselator,11,63410682753376585/288230376151711744,common,tube,y,0x1.2a823f02e5706p+1,0x1.3eebfc52dd6f9p+1,0x1.2a823f02e5706p+1,0x1.3eebfc52dd6f9p+1,0.1594769134971954,0.1594769134971954,1.0,True
brusselator,12,17293822569102705/72057594037927936,published,endpoint,x,0x1.ef4404db5030bp+0,0x1.0a846ea72008ep+1,0x1.ef4404db5030bp+0,0x1.0a846ea72008ep+1,0.14753487402038368,0.14753487402038368,1.0,True
brusselator,12,17293822569102705/72057594037927936,published,endpoint,y,0x1.229bed344acf2p+1,0x1.2da4171bca5e7p+1,0x1.229bed344acf2p+1,0x1.2da4171bca5e7p+1,0.0861866360056589,0.0861866360056589,1.0,True
brusselator,12,17293822569102705/72057594037927936,published,tube,x,0x1.e36a43af9a77cp+0,0x1.0a89956533fe3p+1,0x1.e36a43af9a77cp+0,0x1.0a89956533fe3p+1,0.19398350147595744,0.19398350147595744,1.0,True
brusselator,12,17293822569102705/72057594037927936,published,tube,y,0x1.21d16a3250f0dp+1,0x1.36dc06c5bd267p+1,0x1.21d16a3250f0dp+1,0x1.36dc06c5bd267p+1,0.16438634107946104,0.16438634107946104,1.0,True
brusselator,12,17293822569102705/72057594037927936,common,endpoint,x,0x1.ef4404db5031cp+0,0x1.0a846ea720082p+1,0x1.ef4404db5031cp+0,0x1.0a846ea720082p+1,0.14753487402037457,0.14753487402037457,1.0,True
brusselator,12,17293822569102705/72057594037927936,common,endpoint,y,0x1.229bed344acffp+1,0x1.2da4171bca5d9p+1,0x1.229bed344acffp+1,0x1.2da4171bca5d9p+1,0.08618663600564691,0.08618663600564691,1.0,True
brusselator,12,17293822569102705/72057594037927936,common,tube,x,0x1.e36a43af9a7a3p+0,0x1.0a89956533fbbp+1,0x1.e36a43af9a7a3p+0,0x1.0a89956533fbbp+1,0.19398350147593102,0.19398350147593102,1.0,True
brusselator,12,17293822569102705/72057594037927936,common,tube,y,0x1.21d16a3250f36p+1,0x1.36dc06c5bd23dp+1,0x1.21d16a3250f36p+1,0x1.36dc06c5bd23dp+1,0.16438634107942418,0.16438634107942418,1.0,True
brusselator,13,74939897799445055/288230376151711744,published,endpoint,x,0x1.f9b752fc4cdf3p+0,0x1.10fbf558a09bcp+1,0x1.f9b752fc4cdf3p+0,0x1.10fbf558a09bcp+1,0.1572356049331074,0.1572356049331074,1.0,True
brusselator,13,74939897799445055/288230376151711744,published,endpoint,y,0x1.19f425caa7d10p+1,0x1.255315f0bb682p+1,0x1.19f425caa7d10p+1,0x1.255315f0bb682p+1,0.08883478030400571,0.08883478030400571,1.0,True
brusselator,13,74939897799445055/288230376151711744,published,tube,x,0x1.edef9ab1323d5p+0,0x1.11078a05e43c1p+1,0x1.edef9ab1323d5p+0,0x1.11078a05e43c1p+1,0.2036052557143464,0.2036052557143464,1.0,True
brusselator,13,74939897799445055/288230376151711744,published,tube,y,0x1.191a71aa1ed5cp+1,0x1.2ea8de21d4506p+1,0x1.191a71aa1ed5cp+1,0x1.2ea8de21d4506p+1,0.16840892644082306,0.16840892644082306,1.0,True
brusselator,13,74939897799445055/288230376151711744,common,endpoint,x,0x1.f9b752fc4ce05p+0,0x1.10fbf558a09afp+1,0x1.f9b752fc4ce05p+0,0x1.10fbf558a09afp+1,0.15723560493309763,0.15723560493309763,1.0,True
brusselator,13,74939897799445055/288230376151711744,common,endpoint,y,0x1.19f425caa7d1dp+1,0x1.255315f0bb674p+1,0x1.19f425caa7d1dp+1,0x1.255315f0bb674p+1,0.08883478030399372,0.08883478030399372,1.0,True
