plant,step,history_length,history_length_after,category,label,seconds,calls,interval_constructions,tensor_outputs,explicit_copy_events,step_seconds,boundary_sum_seconds,nonboundary_seconds,pass_kind,window,inplace_tensor_self_returns,tensor_result_creations,actual_entry_details,binding_details
brusselator,4,3,4,C,endpoint_error_and_ledger,0.017783021088689566,7,28,5276,118,1.1144346911460161,0.6509721046313643,0.4634625865146518,exclusive_wall_timer,brusselator_early,42,5234,raw_minimal/profiles/brusselator_early_wall/operations.csv,raw_minimal/profiles/brusselator_early_wall/source.json
brusselator,4,3,4,D,polynomial_interval_range,0.4952468513511121,262,8428,169362,33712,1.1144346911460161,0.6509721046313643,0.4634625865146518,exclusive_wall_timer,brusselator_early,0,169362,raw_minimal/profiles/brusselator_early_wall/operations.csv,raw_minimal/profiles/brusselator_early_wall/source.json
brusselator,4,3,4,E,composition_and_cutoff,0.08050634386017919,181,998,28454,4222,1.1144346911460161,0.6509721046313643,0.4634625865146518,exclusive_wall_timer,brusselator_early,0,28454,raw_minimal/profiles/brusselator_early_wall/operations.csv,raw_minimal/profiles/brusselator_early_wall/source.json
brusselator,4,3,4,F,center_scale_and_maps,0.0016743224114179611,5,4,572,20,1.1144346911460161,0.6509721046313643,0.4634625865146518,exclusive_wall_timer,brusselator_early,0,572,raw_minimal/profiles/brusselator_early_wall/operations.csv,raw_minimal/profiles/brusselator_early_wall/source.json
brusselator,4,3,4,G,history_checks_pack_propagate_commit,0.005724720656871796,30,32,2123,128,1.1144346911460161,0.6509721046313643,0.4634625865146518,exclusive_wall_timer,brusselator_early,0,2123,raw_minimal/profiles/brusselator_early_wall/operations.csv,raw_minimal/profiles/brusselator_early_wall/source.json
brusselator,4,3,4,H,other_boundary,0.003314129076898098,1,34,1064,136,1.1144346911460161,0.6509721046313643,0.4634625865146518,exclusive_wall_timer,brusselator_early,0,1064,raw_minimal/profiles/brusselator_early_wall/operations.csv,raw_minimal/profiles/brusselator_early_wall/source.json
brusselator,4,3,4,outside_boundary,nonboundary_or_unattributed,0.4634625865146518,0,297,122032,11690,1.1144346911460161,0.6509721046313643,0.4634625865146518,exclusive_wall_timer,brusselator_early,646,121386,raw_minimal/profiles/brusselator_early_wall/operations.csv,raw_minimal/profiles/brusselator_early_wall/source.json
brusselator,5,4,5,A,representation_and_coefficients,0.04590707225725055,234,5,13281,1688,1.1004285267554224,0.6402772907167673,0.46015123603865504,exclusive_wall_timer,brusselator_early,8,13273,raw_minimal/profiles/brusselator_early_wall/operations.csv,raw_minimal/profiles/brusselator_early_wall/source.json
brusselator,5,4,5,B,point_substitution,0.0009693284519016743,3,0,344,0,1.1004285267554224,0.6402772907167673,0.46015123603865504,exclusive_wall_timer,brusselator_early,1,343,raw_minimal/profiles/brusselator_early_wall/operations.csv,raw_minimal/profiles/brusselator_early_wall/source.json
brusselator,5,4,5,C,endpoint_error_and_ledger,0.017534389160573483,7,28,5276,118,1.1004285267554224,0.6402772907167673,0.46015123603865504,exclusive_wall_timer,brusselator_early,42,5234,raw_minimal/profiles/brusselator_early_wall/operations.csv,raw_minimal/profiles/brusselator_early_wall/source.json
brusselator,5,4,5,D,polynomial_interval_range,0.4855788266286254,262,8446,169706,33784,1.1004285267554224,0.6402772907167673,0.46015123603865504,exclusive_wall_timer,brusselator_early,0,169706,raw_minimal/profiles/brusselator_early_wall/operations.csv,raw_minimal/profiles/brusselator_early_wall/source.json
brusselator,5,4,5,E,composition_and_cutoff,0.07915377942845225,181,998,28458,4222,1.1004285267554224,0.6402772907167673,0.46015123603865504,exclusive_wall_timer,brusselator_early,0,28458,raw_minimal/profiles/brusselator_early_wall/operations.csv,raw_minimal/profiles/brusselator_early_wall/source.json
brusselator,5,4,5,F,center_scale_and_maps,0.0017626695334911346,5,4,572,20,1.1004285267554224,0.6402772907167673,0.46015123603865504,exclusive_wall_timer,brusselator_early,0,572,raw_minimal/profiles/brusselator_early_wall/operations.csv,raw_minimal/profiles/brusselator_early_wall/source.json
