failure_category,failure_message,h,protocol,requested_horizon,run_id,successful_horizon,system,tool,tool_variant
first_picard_inclusion_failed,upstream initial Picard inclusion failed,0.01,deliberate_low_order_stress,1.0,diffreach_faf39236207a167e,0.53,van_der_pol,diffreach,diffreach_affine
,,0.01,common_box_raw_endpoint_carry,0.1,diffreach_0e2d896d138ff77d,0.1,riccati,diffreach,diffreach_affine
,,0.01,common_box_raw_endpoint_carry,1.0,diffreach_96fd84b05300e63b,1.0,harmonic,diffreach,diffreach_affine
,,0.005,one_step_tube,0.005,flowstar_7f02f6fb50760586,0.005,riccati,flowstar,flowstar_stock
,,0.005,one_step_tube,0.005,flowstar_c7edc7fbd55eb46f,0.005,riccati,flowstar,flowstar_candidate_reinjection_diagnostic
,,0.005,one_step_raw_endpoint,0.005,flowstar_999ea4a6305a44ef,0.005,riccati,flowstar,flowstar_stock
,,0.005,one_step_raw_endpoint,0.005,flowstar_62e2eee40d8689a2,0.005,riccati,flowstar,flowstar_candidate_reinjection_diagnostic
,,0.01,one_step_tube,0.01,flowstar_a3356d51cdffebb4,0.01,riccati,flowstar,flowstar_stock
,,0.01,one_step_tube,0.01,flowstar_1ad6f975ed9da5c9,0.01,riccati,flowstar,flowstar_candidate_reinjection_diagnostic
,,0.01,one_step_raw_endpoint,0.01,flowstar_55df28a17f596be1,0.01,riccati,flowstar,flowstar_stock
,,0.01,one_step_raw_endpoint,0.01,flowstar_1af544e139942b36,0.01,riccati,flowstar,flowstar_candidate_reinjection_diagnostic
,,0.02,one_step_tube,0.02,flowstar_802aecaffb387153,0.02,riccati,flowstar,flowstar_stock
,,0.02,one_step_tube,0.02,flowstar_2c3891d8ef5fa5ee,0.02,riccati,flowstar,flowstar_candidate_reinjection_diagnostic
,,0.02,one_step_raw_endpoint,0.02,flowstar_20980d5d49f4e197,0.02,riccati,flowstar,flowstar_stock
,,0.02,one_step_raw_endpoint,0.02,flowstar_3230db2521ea7d36,0.02,riccati,flowstar,flowstar_candidate_reinjection_diagnostic
first_picard_inclusion_failed,Flowpipe::advance fixed-step/fixed-order first Picard image was not a subset; state=0 source_line=1120,0.05,one_step_tube,0.05,flowstar_9cc15f66f16388f7,0.0,riccati,flowstar,flowstar_stock
first_picard_inclusion_failed,Flowpipe::advance fixed-step/fixed-order first Picard image was not a subset; state=0 source_line=1120,0.05,one_step_tube,0.05,flowstar_28d125cd4159d185,0.0,riccati,flowstar,flowstar_candidate_reinjection_diagnostic
first_picard_inclusion_failed,Flowpipe::advance fixed-step/fixed-order first Picard image was not a subset; state=0 source_line=1120,0.05,one_step_raw_endpoint,0.05,flowstar_1e68e514dda8ed73,0.0,riccati,flowstar,flowstar_stock
first_picard_inclusion_failed,Flowpipe::advance fixed-step/fixed-order first Picard image was not a subset; state=0 source_line=1120,0.05,one_step_raw_endpoint,0.05,flowstar_3c69f69a12effa5e,0.0,riccati,flowstar,flowstar_candidate_reinjection_diagnostic
,,0.01,common_box_raw_endpoint_carry,1.0,flowstar_b00f18d3ab8debe8,1.0000000000000007,riccati,flowstar,flowstar_stock
,,0.01,common_box_raw_endpoint_carry,1.0,flowstar_a419aac7c99829c2,1.0000000000000007,riccati,flowstar,flowstar_candidate_reinjection_diagnostic
,,0.01,native_representation,1.0,flowstar_463443fc6a70cc3a,1.0000000000000007,riccati,flowstar,flowstar_stock
,,0.01,deliberate_low_order_stress,1.0,flowstar_12ca263a75aa1f89,1.0000000000000007,riccati,flowstar,flowstar_stock
,,0.01,one_step_raw_endpoint,0.01,flowstar_79ff11e263a5b7ab,0.01,riccati,flowstar,flowstar_no_refinement_diagnostic
,,0.01,one_step_raw_endpoint,0.01,flowstar_3b6706dbee90efd4,0.01,riccati,flowstar,flowstar_refinement_revalidated_diagnostic
,,0.005,one_step_tube,0.005,flowstar_371ce9dfb3411ab6,0.005,harmonic,flowstar,flowstar_stock
,,0.005,one_step_tube,0.005,flowstar_65e3e8023481f785,0.005,harmonic,flowstar,flowstar_candidate_reinjection_diagnostic
,,0.005,one_step_raw_endpoint,0.005,flowstar_5c5155cab26e56fe,0.005,harmonic,flowstar,flowstar_stock
,,0.005,one_step_raw_endpoint,0.005,flowstar_e4e9f478c795911e,0.005,harmonic,flowstar,flowstar_candidate_reinjection_diagnostic
,,0.01,one_step_tube,0.01,flowstar_431942197a189a25,0.01,harmonic,flowstar,flowstar_stock
,,0.01,one_step_tube,0.01,flowstar_81cc15266d90ffa6,0.01,harmonic,flowstar,flowstar_candidate_reinjection_diagnostic
,,0.01,one_step_raw_endpoint,0.01,flowstar_272cd35191b111e6,0.01,harmonic,flowstar,flowstar_stock
,,0.01,one_step_raw_endpoint,0.01,flowstar_d51e1148f71138e7,0.01,harmonic,flowstar,flowstar_candidate_reinjection_diagnostic
