absolute_time,analytic_reference_status,h,lower,requested_horizon,sampled_trajectory_status,state_index,step_index,system,tool,tool_variant,upper,width
0.74,passed,0.01,-0.0010077089572585716,1.0,passed,0,74,riccati,torch_tm_flowpipe,torch_order1_common_box_raw,0.10906937987378583,0.1100770888310444
0.75,passed,0.01,-0.0010225791205438644,1.0,passed,0,75,riccati,torch_tm_flowpipe,torch_order1_common_box_raw,0.10920321133333169,0.11022579045387555
0.76,passed,0.01,-0.0010374857985034857,1.0,passed,0,76,riccati,torch_tm_flowpipe,torch_order1_common_box_raw,0.10933737142494647,0.11037485722344996
0.77,passed,0.01,-0.0010524291257438657,1.0,passed,0,77,riccati,torch_tm_flowpipe,torch_order1_common_box_raw,0.10947186136008806,0.11052429048583193
0.78,passed,0.01,-0.0010674092375336562,1.0,passed,0,78,riccati,torch_tm_flowpipe,torch_order1_common_box_raw,0.10960668235617431,0.11067409159370796
0.79,passed,0.01,-0.0010824262698078061,1.0,passed,0,79,riccati,torch_tm_flowpipe,torch_order1_common_box_raw,0.10974183563661977,0.11082426190642758
0.8,passed,0.01,-0.001097480359171669,1.0,passed,0,80,riccati,torch_tm_flowpipe,torch_order1_common_box_raw,0.10987732243087261,0.11097480279004428
0.81,passed,0.01,-0.0011125716429051392,1.0,passed,0,81,riccati,torch_tm_flowpipe,torch_order1_common_box_raw,0.1100131439744519,0.11112571561735704
0.8200000000000001,passed,0.01,-0.0011277002589668195,1.0,passed,0,82,riccati,torch_tm_flowpipe,torch_order1_common_box_raw,0.11014930150898505,0.11127700176795187
0.8300000000000001,passed,0.01,-0.0011428663459982205,1.0,passed,0,83,riccati,torch_tm_flowpipe,torch_order1_common_box_raw,0.11028579628224566,0.11142866262824389
0.84,passed,0.01,-0.0011580700433279896,1.0,passed,0,84,riccati,torch_tm_flowpipe,torch_order1_common_box_raw,0.11042262954819157,0.11158069959151956
0.85,passed,0.01,-0.0011733114909761723,1.0,passed,0,85,riccati,torch_tm_flowpipe,torch_order1_common_box_raw,0.11055980256700317,0.11173311405797934
0.86,passed,0.01,-0.0011885908296585053,1.0,passed,0,86,riccati,torch_tm_flowpipe,torch_order1_common_box_raw,0.11069731660512208,0.1118859074347806
0.87,passed,0.01,-0.0012039082007907417,1.0,passed,0,87,riccati,torch_tm_flowpipe,torch_order1_common_box_raw,0.1108351729352901,0.11203908113608085
0.88,passed,0.01,-0.001219263746493008,1.0,passed,0,88,riccati,torch_tm_flowpipe,torch_order1_common_box_raw,0.11097337283658837,0.11219263658308137
0.89,passed,0.01,-0.0012346576095941936,1.0,passed,0,89,riccati,torch_tm_flowpipe,torch_order1_common_box_raw,0.11111191759447687,0.11234657520407107
0.9,passed,0.01,-0.0012500899336363744,1.0,passed,0,90,riccati,torch_tm_flowpipe,torch_order1_common_box_raw,0.11125080850083431,0.11250089843447068
0.91,passed,0.01,-0.001265560862879268,1.0,passed,0,91,riccati,torch_tm_flowpipe,torch_order1_common_box_raw,0.11139004685399814,0.11265560771687741
0.92,passed,0.01,-0.0012810705423047233,1.0,passed,0,92,riccati,torch_tm_flowpipe,torch_order1_common_box_raw,0.111529633958805,0.11281070450110972
0.93,passed,0.01,-0.0012966191176212436,1.0,passed,0,93,riccati,torch_tm_flowpipe,torch_order1_common_box_raw,0.11166957112663141,0.11296619024425265
0.9400000000000001,passed,0.01,-0.0013122067352685433,1.0,passed,0,94,riccati,torch_tm_flowpipe,torch_order1_common_box_raw,0.1118098596754348,0.11312206641070334
0.9500000000000001,passed,0.01,-0.0013278335424221398,1.0,passed,0,95,riccati,torch_tm_flowpipe,torch_order1_common_box_raw,0.11195050092979485,0.11327833447221698
0.96,passed,0.01,-0.0013434996869979793,1.0,passed,0,96,riccati,torch_tm_flowpipe,torch_order1_common_box_raw,0.11209149622095504,0.11343499590795303
0.97,passed,0.01,-0.0013592053176570977,1.0,passed,0,97,riccati,torch_tm_flowpipe,torch_order1_common_box_raw,0.11223284688686473,0.11359205220452183
0.98,passed,0.01,-0.0013749505838103174,1.0,passed,0,98,riccati,torch_tm_flowpipe,torch_order1_common_box_raw,0.1123745542722213,0.11374950485603162
0.99,passed,0.01,-0.001390735635622978,1.0,passed,0,99,riccati,torch_tm_flowpipe,torch_order1_common_box_raw,0.1125166197285128,0.11390735536413578
1.0,passed,0.01,-0.001406560624019705,1.0,passed,0,100,riccati,torch_tm_flowpipe,torch_order1_common_box_raw,0.11265904461406089,0.1140656052380806
0.01,passed,0.01,-0.10125000000126255,4.0,passed,0,1,harmonic,torch_tm_flowpipe,torch_order1_common_box_raw,0.10125000000126255,0.2025000000025251
0.01,passed,0.01,-0.10125000000126255,4.0,passed,1,1,harmonic,torch_tm_flowpipe,torch_order1_common_box_raw,0.10125000000126255,0.2025000000025251
0.02,passed,0.01,-0.10251562500254088,4.0,passed,0,2,harmonic,torch_tm_flowpipe,torch_order1_common_box_raw,0.10251562500254088,0.20503125000508177
0.02,passed,0.01,-0.10251562500254088,4.0,passed,1,2,harmonic,torch_tm_flowpipe,torch_order1_common_box_raw,0.10251562500254088,0.20503125000508177
0.03,passed,0.01,-0.10379707031633519,4.0,passed,0,3,harmonic,torch_tm_flowpipe,torch_order1_common_box_raw,0.10379707031633519,0.20759414063267037
0.03,passed,0.01,-0.10379707031633519,4.0,passed,1,3,harmonic,torch_tm_flowpipe,torch_order1_common_box_raw,0.10379707031633519,0.20759414063267037
0.04,passed,0.01,-0.10509453369655192,4.0,passed,0,4,harmonic,torch_tm_flowpipe,torch_order1_common_box_raw,0.10509453369655192,0.21018906739310383
0.04,passed,0.01,-0.10509453369655192,4.0,passed,1,4,harmonic,torch_tm_flowpipe,torch_order1_common_box_raw,0.10509453369655192,0.21018906739310383
