workload,batch,device,controller,range_bound_mode,dropped_merge_mode,status,elapsed_ms,range_bound_ms,dropped_range_bound_ms,rhs_construction_ms,mul_trunc_ms,tm_remainder_propagation_ms,controller_bound_ms,plant_step_ms,cuda_memory_allocated_bytes,cuda_memory_reserved_bytes,samples_checked,sample_violations,containment_pass,max_width,mean_width,speedup_vs_dense_cpu,dominant_operation,recommendation
nncs,128,cuda,relu_ibp,blocked_interval,grouped,ok,116.253775,14.5457229,,,,,5.97297028,92.49344,8706048,77594624,144,0,yes,0.0872138521,0.0831913219,0.343171068,plant step,CONTINUE_BLOCKED_DENSE
nncs,512,cuda,relu_ibp,interval,merged,ok,116.482573,13.8406157,,,,,5.97591698,93.4159579,9199616,77594624,144,0,yes,0.0872138521,0.0831872348,0.430714441,plant step,CONTINUE_BLOCKED_DENSE
nncs,512,cuda,relu_ibp,interval,grouped,ok,116.5014,13.8622625,,,,,5.97767811,93.4173772,9199616,77594624,144,0,yes,0.0872138521,0.0831872348,0.433126095,plant step,CONTINUE_BLOCKED_DENSE
nncs,512,cuda,relu_ibp,blocked_interval,merged,ok,120.663976,15.1517158,,,,,6.20514248,95.9426938,9216000,77594624,144,0,yes,0.0872138521,0.0831872348,0.423199007,plant step,CONTINUE_BLOCKED_DENSE
nncs,512,cuda,relu_ibp,blocked_interval,grouped,ok,123.341105,15.4723953,,,,,6.29404001,98.1807606,9216000,77594624,144,0,yes,0.0872138521,0.0831872348,0.413004532,plant step,CONTINUE_BLOCKED_DENSE
nncs,2048,cuda,relu_ibp,interval,merged,ok,116.825424,13.8878552,,,,,6.0188584,93.671741,11190272,77594624,144,0,yes,0.0872138521,0.0831866266,0.806129175,plant step,CONTINUE_BLOCKED_DENSE
nncs,2048,cuda,relu_ibp,interval,grouped,ok,116.449186,13.8664311,,,,,5.98484091,93.3389692,11190272,77594624,144,0,yes,0.0872138521,0.0831866266,0.810131247,plant step,CONTINUE_BLOCKED_DENSE
nncs,2048,cuda,relu_ibp,blocked_interval,merged,ok,116.751333,14.5578841,,,,,5.98070957,92.9663051,11255808,77594624,144,0,yes,0.0872138521,0.0831866266,0.808690986,plant step,CONTINUE_BLOCKED_DENSE
nncs,2048,cuda,relu_ibp,blocked_interval,grouped,ok,116.928426,14.5598259,,,,,5.99856954,93.1399483,11255808,77594624,144,0,yes,0.0872138521,0.0831866266,0.826331314,plant step,CONTINUE_BLOCKED_DENSE
nncs,8192,cuda,relu_ibp,interval,merged,ok,116.637371,13.8875851,,,,,5.99746313,93.5005471,19152896,77594624,144,0,yes,0.0872138521,0.0831863443,2.36572519,plant step,CONTINUE_BLOCKED_DENSE
nncs,8192,cuda,relu_ibp,interval,grouped,ok,116.605243,13.9721856,,,,,6.01741672,93.3131659,19152896,77594624,144,0,yes,0.0872138521,0.0831863443,2.27385194,plant step,CONTINUE_BLOCKED_DENSE
nncs,8192,cuda,relu_ibp,blocked_interval,merged,ok,117.107362,14.6439914,,,,,5.96827269,93.2400096,19415040,77594624,144,0,yes,0.0872138521,0.0831863443,2.28049919,plant step,CONTINUE_BLOCKED_DENSE
nncs,8192,cuda,relu_ibp,blocked_interval,grouped,ok,117.386805,14.6076689,,,,,5.96872251,93.5402699,19415040,77594624,144,0,yes,0.0872138521,0.0831863443,2.27952032,plant step,CONTINUE_BLOCKED_DENSE
