accepted_step,canonical_object_sha256,operator,implementation,stage_class,channel,component,lo,hi,lo_hex,hi_hex,width,exact_bernstein_lo,exact_bernstein_hi,exact_local_outward_contained
2,2495083a8be430a6fd47d55a9e814dcf022009690926d1020188f744a117b6e3,E,Torch,reporting_tube,tube,1,2.879988090442659,2.9794957467883094,0x1.70a37322a90d1p+1,0x1.7d601ddb83710p+1,0.09950765634565029,465163441346608930624434060779132487622746495745544174433020076505614839825662787543192154433994971320114279348934708135/161390617380431786853494948250188242145606612051826469551916209783790476376052574664352834580008614464743948248296718336,899285341495788661123593/302231454903657293676544,True
2,2495083a8be430a6fd47d55a9e814dcf022009690926d1020188f744a117b6e3,F,Flow*,reporting_endpoint,endpoint,0,1.5463761512597194,1.5995568289904443,0x1.8bdf4eb4f98f6p+0,0x1.997c8e6c9b801p+0,0.05318067773072488,1869577356083007095932463/1208925819614629174706176,7734982201221894533072601/4835703278458516698824704,True
2,2495083a8be430a6fd47d55a9e814dcf022009690926d1020188f744a117b6e3,F,Flow*,reporting_endpoint,endpoint,1,2.882151718027859,2.9290362687616245,0x1.70ea58f5851a6p+1,0x1.76eaa91390848p+1,0.04688455073376563,13937565980285890028876061/4835703278458516698824704,3540945496571925283883839/1208925819614629174706176,True
2,2495083a8be430a6fd47d55a9e814dcf022009690926d1020188f744a117b6e3,F,Flow*,reporting_tube,tube,0,1.509161084966968,1.5995604756647288,0x1.825861805439bp+0,0x1.997ccb9af4476p+0,0.0903993906977607,457178773919270173682711/302231454903657293676544,1032613856555559489360312180621186971297198937917121222016928062658190783685433223636063078006250296635265519489735879347/645562469521727147413979793000752968582426448207305878207664839135161905504210298657411338320034457858975792993186873344,True
2,2495083a8be430a6fd47d55a9e814dcf022009690926d1020188f744a117b6e3,F,Flow*,reporting_tube,tube,1,2.8799880904426676,2.9794957467883014,0x1.70a37322a90e4p+1,0x1.7d601ddb836fep+1,0.09950765634563385,465163441346608930624434060779132487622746495745544174433020076505614839825662787543192154433994971320114279348934708135/161390617380431786853494948250188242145606612051826469551916209783790476376052574664352834580008614464743948248296718336,899285341495788661123593/302231454903657293676544,True
2,2495083a8be430a6fd47d55a9e814dcf022009690926d1020188f744a117b6e3,G,Torch,boundary_normalization,boundary,0,-0.026291535097386725,0.02634737325705451,-0x1.aec2b0d9ea14bp-6,0x1.aface49e5f184p-6,0.05263890835444124,-1010359113736704717734369/38685626227668133590597632,1019264613747812876845215/38685626227668133590597632,True
2,2495083a8be430a6fd47d55a9e814dcf022009690926d1020188f744a117b6e3,G,Torch,boundary_normalization,boundary,1,-0.023213380372212128,0.023156477638505427,-0x1.7c53f961cf008p-6,0x1.7b654e8977c91p-6,0.04636985801071755,-893313097661764701684067/38685626227668133590597632,893580750253171750094333/38685626227668133590597632,True
2,2495083a8be430a6fd47d55a9e814dcf022009690926d1020188f744a117b6e3,H,Flow*,boundary_normalization,boundary,0,-0.026291535097014214,0.026347373257034987,-0x1.aec2b0d9cfde2p-6,0x1.aface49e5db89p-6,0.052638908354049205,-1010359113054019847169077/38685626227668133590597632,1019264613747058847970891/38685626227668133590597632,True
2,2495083a8be430a6fd47d55a9e814dcf022009690926d1020188f744a117b6e3,H,Flow*,boundary_normalization,boundary,1,-0.023213380372195846,0.023156477638194697,-0x1.7c53f961cddb3p-6,0x1.7b654e8961eb7p-6,0.04636985801039054,-893313097115410361914407/38685626227668133590597632,893580750229442451851065/38685626227668133590597632,True
2,2495083a8be430a6fd47d55a9e814dcf022009690926d1020188f744a117b6e3,X1,Torch,cutoff_payment,endpoint,0,1.5463761512597176,1.5995568289904463,0x1.8bdf4eb4f98eep+0,0x1.997c8e6c9b80ap+0,0.053180677730728654,1869577356083007095932465/1208925819614629174706176,7734982201221894533072593/4835703278458516698824704,True
