term,path,line,context
FLOWSTAR_ROOT,experiments/three_way_common_contract/run_flowstar.py,421,"tool_git_sha=git_sha(FLOWSTAR_ROOT),"
flowstar-audit,experiments/three_way_comparison_repair/benchmark_spec.yaml,12,flowstar_audit: ../flowstar-audit
FLOWSTAR_ROOT,experiments/three_way_comparison_repair/generate_report.py,382,"'export FLOWSTAR_ROOT=""$(dirname ""$(git rev-parse --show-toplevel)"")/flowstar-audit""',"
flowstar-audit,experiments/three_way_comparison_repair/generate_report.py,382,"'export FLOWSTAR_ROOT=""$(dirname ""$(git rev-parse --show-toplevel)"")/flowstar-audit""',"
FLOWSTAR_AUDIT_REVALIDATE_REFINEMENT,experiments/three_way_comparison_repair/run_flowstar_audit.py,401,"environment[""FLOWSTAR_AUDIT_REVALIDATE_REFINEMENT""] = ("
FLOWSTAR_ROOT,experiments/trajectory_visual_audit.py,598,"stderr_path.write_text(""Flow* toolbox root not found; set FLOWSTAR_ROOT.\n"", encoding=""utf-8"")"
FLOWSTAR_ROOT,experiments/trajectory_visual_audit.py,599,"failure_reason = ""Flow* toolbox root not found; set FLOWSTAR_ROOT"""
FLOWSTAR_ROOT,experiments/trajectory_visual_audit.py,1384,- Flow* backend: generated toolbox C++ linked against `$FLOWSTAR_ROOT/flowstar-toolbox/libflowstar.a`
FLOWSTAR_ROOT,scripts/generate_flowstar_provenance.py,14,FLOWSTAR_ROOT = Path(
FLOWSTAR_ROOT,scripts/generate_flowstar_provenance.py,15,"os.environ.get(""FLOWSTAR_ROOT"", ROOT.parent / ""flowstar"")"
FLOWSTAR_ROOT,scripts/generate_flowstar_provenance.py,18,LIB_PATH = FLOWSTAR_ROOT / 'flowstar-toolbox' / 'libflowstar.a'
FLOWSTAR_ROOT,scripts/generate_flowstar_provenance.py,124,"flowstar_status = run(['git', '-C', str(FLOWSTAR_ROOT), 'status', '--short'])"
FLOWSTAR_ROOT,scripts/generate_flowstar_provenance.py,140,"'FLOWSTAR_ROOT': str(FLOWSTAR_ROOT),"
FLOWSTAR_ROOT,scripts/generate_flowstar_provenance.py,143,"'remote_v': run(['git', '-C', str(FLOWSTAR_ROOT), 'remote', '-v']).splitlines(),"
FLOWSTAR_ROOT,scripts/generate_flowstar_provenance.py,144,"'head_sha': run(['git', '-C', str(FLOWSTAR_ROOT), 'rev-parse', 'HEAD']),"
FLOWSTAR_ROOT,scripts/generate_flowstar_provenance.py,158,"'runner_link_evidence': 'comparisons/flowstar/run_flowstar.py compile_cmd uses -L $FLOWSTAR_ROOT/flowstar-toolbox and -lflowstar',"
FLOWSTAR_ROOT,scripts/generate_flowstar_provenance.py,212,"f'- `FLOWSTAR_ROOT`: `{backend[""FLOWSTAR_ROOT""]}`',"
FLOWSTAR_ROOT,scripts/generate_flowstar_provenance.py,241,"'- Runner links Flow* static library: `True` (`-L $FLOWSTAR_ROOT/flowstar-toolbox -lflowstar`)',"
FLOWSTAR_ROOT,scripts/run_vdp_order_flowstar_study.sh,6,"FLOWSTAR_ROOT=${FLOWSTAR_ROOT:-${1:-""$WORK_PARENT/flowstar""}}"
FLOWSTAR_ROOT,scripts/run_vdp_order_flowstar_study.sh,33,"--flowstar-root ""$FLOWSTAR_ROOT"" \"
