step_index,prescribed_h,constant_status,range_midpoint_status,constant_h,range_midpoint_h,constant_h_delta,range_midpoint_h_delta,h_sequence_modified,constant_t_hi,range_midpoint_t_hi,constant_width_sum,range_midpoint_width_sum,width_reduction_absolute,width_reduction_relative,constant_reset_width_sum,range_midpoint_reset_width_sum,reset_width_reduction_absolute,reset_width_reduction_relative,constant_polynomial_range_width_sum,range_midpoint_polynomial_range_width_sum,constant_right_map_range_width_sum,range_midpoint_right_map_range_width_sum,constant_target_margin,range_midpoint_target_margin,range_midpoint_validation_failure_recorded,notes
42,0.021392070014645732,validated,validated,0.021392070014645732,0.021392070014645732,0,0,false,0.72495278704655741,0.72495278704655741,0.44112335940882486,0.42531319548058955,0.01581016392823531,0.035840686263868306,0.35793071245437902,0.34297976363640476,0.014950948817974263,0.041770511156904076,0.44105745077415237,0.42525009264877101,0.3430382416105871,0.34297976363640481,6.7817265802204077e-05,6.9347493112521531e-05,false,"prescribed h replay; h_min=h_max=prescribed_h, so adaptive shrink cannot silently change the accepted h"
43,0.023531277016110307,validated,validated,0.023531277016110307,0.023531277016110307,0,0,false,0.74848406406266776,0.74848406406266776,0.42749546671053718,0.41175338142955242,0.015742085280984752,0.036823981788896787,0.34012815171965766,0.32531737571982583,0.014810775999831827,0.043544693154476809,0.42742029264768433,0.41168155305936249,0.32537805512359813,0.32531737571982589,6.3072855708531806e-05,6.4901396620928694e-05,false,"prescribed h replay; h_min=h_max=prescribed_h, so adaptive shrink cannot silently change the accepted h"
44,0.02588440471772134,validated,validated,0.02588440471772134,0.02588440471772134,0,0,false,0.77436846878038912,0.77436846878038912,0.41271415551951041,0.39706878041177868,0.015645375107731729,0.037908501316214531,0.32149925221878434,0.30685176458658397,0.014647487632200362,0.045559943082643814,0.4126286590446302,0.39698728342311751,0.30691559916124378,0.30685176458658403,5.777652800210538e-05,5.9964787926363556e-05,false,"prescribed h replay; h_min=h_max=prescribed_h, so adaptive shrink cannot silently change the accepted h"
45,0.028472845189493477,validated,validated,0.028472845189493477,0.028472845189493477,0,0,false,0.80284131396988256,0.80284131396988256,0.39687609538257079,0.38135476547633596,0.015521329906234838,0.039108754814957979,0.30213770490529362,0.28767328136715981,0.014464423538133819,0.047873612936418362,0.39677931867179539,0.38126272559127899,0.28774093918968857,0.28767328136715981,5.1987598507162005e-05,5.4582122792099073e-05,false,"prescribed h replay; h_min=h_max=prescribed_h, so adaptive shrink cannot silently change the accepted h"
46,0.031320129708442827,validated,validated,0.031320129708442827,0.031320129708442827,0,0,false,0.83416144367832534,0.83416144367832534,0.38003034907618094,0.3646586232006867,0.015371725875494235,0.040448679724820656,0.28222194862335659,0.26795453254701862,0.014267416076337969,0.050553885500162696,0.37992159297141764,0.36455543659113776,0.26802670626691316,0.26795453254701868,4.5853314608279806e-05,4.8906849690681932e-05,false,"prescribed h replay; h_min=h_max=prescribed_h, so adaptive shrink cannot silently change the accepted h"
47,0.034452142679287111,validated,validated,0.034452142679287111,0.034452142679287111,0,0,false,0.86861358635761243,0.86861358635761243,0.36267480745621272,0.34734839633362424,0.015326411122588479,0.042259376189064092,0.26198728150381223,0.24792070547337686,0.014066576030435374,0.053691827899785619,0.36255357629615653,0.34723368206213795,0.24800000305252651,0.24792070547337691,3.9500719058581047e-05,4.3076292549992571e-05,false,"prescribed h replay; h_min=h_max=prescribed_h, so adaptive shrink cannot silently change the accepted h"
48,0.037897356947215827,validated,validated,0.037897356947215827,0.037897356947215827,0,0,false,0.90651094330482829,0.90651094330482829,0.34552507379551789,0.33031501835865656,0.015210055436861325,0.044020120652264592,0.24170255840552668,0.22783160328269653,0.013870955122830153,0.057388532477002464,0.34539090019823876,0.33018840515466363,0.22791902612175929,0.22783160328269653,3.2975811023644281e-05,3.7128319980953193e-05,false,"prescribed h replay; h_min=h_max=prescribed_h, so adaptive shrink cannot silently change the accepted h"
49,0.041687092641937415,validated,validated,0.041687092641937415,0.041687092641937415,0,0,false,0.94819803594676566,0.94819803594676566,0.32815116252714793,0.31304267264234009,0.015108489884807841,0.046041250527515398,0.22171701388694534,0.20802138169837744,0.013695632188567897,0.061770776849589766,0.32800159325440753,0.31290213323418908,0.20811996521566012,0.20802138169837747,2.5322271999423431e-05,3.027338054188495e-05,false,"prescribed h replay; h_min=h_max=prescribed_h, so adaptive shrink cannot silently change the accepted h"
50,0.045855801906131158,validated,validated,0.045855801906131158,0.045855801906131158,0,0,false,0.9940538378528968,0.9940538378528968,0.31097292893502854,0.29593316814478515,0.015039760790243384,0.048363569271927316,0.20357677277968733,0.1900236125571666,0.013553160222520733,0.066575179660540593,0.31080594650972498,0.29577665769325751,0.1901337193125999,0.19002361255716663,1.6790798997732417e-05,2.2538888260068303e-05,false,"prescribed h replay; h_min=h_max=prescribed_h, so adaptive shrink cannot silently change the accepted h"
51,0.050441382096744279,validated,validated,0.050441382096744279,0.050441382096744279,0,0,false,1.0444952199496411,1.0444952199496411,0.29591209104897009,0.28089182084907693,0.01502027019989316,0.050759231049492586,0.18660611927883583,0.17314351583360249,0.01346260344523334,0.072144490744791012,0.29572447647365463,0.28071656289609387,0.17326726533547693,0.17314351583360252,6.709526636749068e-06,1.3497759351374284e-05,false,"prescribed h replay; h_min=h_max=prescribed_h, so adaptive shrink cannot silently change the accepted h"
