plant,view,range_kind,state,comparison,scope,selection,requested_time,actual_time,ratio,numerator_width,denominator_width,numerator_lo,numerator_hi,denominator_lo,denominator_hi,absolute_width_difference,reason
brusselator,published,tube,y,strict_vs_flowstar,DIAGNOSTIC_ONLY,maximum_ratio_in_observed_prefix,,0.04,1.0055265801981856,0.09950768555167144,0.09896077091473687,2.879988074876006,2.9794957604276773,2.8802501787343733,2.97921094964911,0.0005469146369345701,
brusselator,published,tube,y,strict_vs_parity,DIAGNOSTIC_ONLY,specified_checkpoint,1,1.0,,,,,,,,,missing_or_stopped
brusselator,published,tube,y,strict_vs_parity,DIAGNOSTIC_ONLY,specified_checkpoint,5,5.0,,,,,,,,,missing_or_stopped
brusselator,published,tube,y,strict_vs_parity,DIAGNOSTIC_ONLY,specified_checkpoint,10,10.0,,,,,,,,,missing_or_stopped
brusselator,published,tube,y,strict_vs_parity,DIAGNOSTIC_ONLY,specified_checkpoint,15,15.0,,,,,,,,,missing_or_stopped
brusselator,published,tube,y,strict_vs_parity,DIAGNOSTIC_ONLY,specified_checkpoint,20,20.0,,,,,,,,,missing_or_stopped
brusselator,published,tube,y,strict_vs_parity,DIAGNOSTIC_ONLY,maximum_ratio_in_observed_prefix,,0.04,1.000000229890462,0.09950768555167144,0.0995076626758089,2.879988074876006,2.9794957604276773,2.87998808590792,2.979495748583729,2.2875862537574676e-08,
brusselator,published,tube,y,ours_vs_flowstar,ACCEPTED_COMMON_PREFIX,specified_checkpoint,1,1.0,1.0671284752979258,0.06683214816425798,0.06262802437691439,1.3486777358928028,1.4155098840570608,1.3512892794467302,1.4139173038236446,0.004204123787343583,
brusselator,published,tube,y,ours_vs_flowstar,ACCEPTED_COMMON_PREFIX,specified_checkpoint,5,5.0,1.0016662314296951,0.020397566302206904,0.020363635772260302,4.279648730371721,4.300046296673928,4.279634057865105,4.299997693637366,3.393052994660195e-05,
brusselator,published,tube,y,ours_vs_flowstar,ACCEPTED_COMMON_PREFIX,specified_checkpoint,10,10.0,0.9994421574429441,0.030074885642284332,0.030091672057571017,2.966673054915007,2.996747940557291,2.9666411142264058,2.9967327862839768,-1.6786415286684786e-05,
brusselator,published,tube,y,ours_vs_flowstar,ACCEPTED_COMMON_PREFIX,specified_checkpoint,15,15.0,1.1235077133380416,0.03652032617625056,0.032505630128470964,0.9959187553531703,1.0324390815294209,0.9979198876682178,1.0304255177966888,0.004014696047779598,
brusselator,published,tube,y,ours_vs_flowstar,ACCEPTED_COMMON_PREFIX,specified_checkpoint,20,20.0,0.9846500314051256,0.015668851456530852,0.01591311730744671,4.585384113214013,4.601052964670544,4.585247908921097,4.601161026228544,-0.00024426585091585906,
brusselator,published,tube,y,ours_vs_flowstar,ACCEPTED_COMMON_PREFIX,maximum_ratio_in_observed_prefix,,7.640000000000001,1.203184042597489,0.02503050192904288,0.020803552110785883,0.873746010845902,0.8987765127749449,0.8758775076236369,0.8966810597344228,0.0042269498182569976,
brusselator,common,endpoint,x,strict_vs_ours,DIAGNOSTIC_ONLY,specified_checkpoint,1,1.0,,,0.034174944886736336,,,1.9516486938531779,1.9858236387399142,,missing_or_stopped
brusselator,common,endpoint,x,strict_vs_ours,DIAGNOSTIC_ONLY,specified_checkpoint,5,5.0,,,0.0014950346295276584,,,0.4261001742928711,0.4275952089223988,,missing_or_stopped
brusselator,common,endpoint,x,strict_vs_ours,DIAGNOSTIC_ONLY,specified_checkpoint,10,10.0,,,0.003118713650755278,,,0.41199949815307874,0.415118211803834,,missing_or_stopped
brusselator,common,endpoint,x,strict_vs_ours,DIAGNOSTIC_ONLY,specified_checkpoint,15,15.0,,,0.0589439012080879,,,2.6379021144898744,2.6968460156979623,,missing_or_stopped
brusselator,common,endpoint,x,strict_vs_ours,DIAGNOSTIC_ONLY,specified_checkpoint,20,20.0,,,0.003405774816002738,,,0.49693431276355987,0.5003400875795626,,missing_or_stopped
