plant,view,range_kind,state,t_start,t_end,t_start_exact,t_end_exact,duration,candidate_eligible,ours_lo,ours_hi,ours_width,ours_missing_reason,flowstar_lo,flowstar_hi,flowstar_width,flowstar_missing_reason,strict_lo,strict_hi,strict_width,strict_missing_reason,parity_lo,parity_hi,parity_width,parity_missing_reason,strict_vs_ours,strict_vs_ours_absolute_width_difference,strict_vs_ours_lower_shift,strict_vs_ours_upper_shift,strict_vs_ours_center_shift,strict_vs_ours_disjoint,strict_vs_flowstar,strict_vs_flowstar_absolute_width_difference,strict_vs_flowstar_lower_shift,strict_vs_flowstar_upper_shift,strict_vs_flowstar_center_shift,strict_vs_flowstar_disjoint,strict_vs_parity,strict_vs_parity_absolute_width_difference,strict_vs_parity_lower_shift,strict_vs_parity_upper_shift,strict_vs_parity_center_shift,strict_vs_parity_disjoint,ours_vs_flowstar,ours_vs_flowstar_absolute_width_difference,ours_vs_flowstar_lower_shift,ours_vs_flowstar_upper_shift,ours_vs_flowstar_center_shift,ours_vs_flowstar_disjoint
brusselator,common,tube,y,2.36,2.38,340111843859019865/144115188075855872,685988295241073965/288230376151711744,0.02,False,2.5848665883686963,2.6205684839899117,0.035701895621215396,,2.584841444972516,2.620437530885699,0.03559608591318275,,,,,correctness_gate_stopped_long_run,,,,correctness_gate_stopped_long_run,,,,,,,,,,,,,,,,,,,1.0029725096262188,0.00010580970803264478,2.5143396180205002e-05,0.00013095310421284978,7.804825019630535e-05,False
brusselator,published,endpoint,x,2.38,2.4,685988295241073965/288230376151711744,86469112845513525/36028797018963968,0.02,False,0.5494614135244108,0.5616402988932145,0.012178885368803738,,0.5495520380073481,0.5618858415644059,0.01233380355705782,,,,,correctness_gate_stopped_long_run,,,,correctness_gate_stopped_long_run,,,,,,,,,,,,,,,,,,,0.9874395447002694,-0.00015491818825408288,-9.062448293728487e-05,-0.00024554267119136775,-0.0001680835770642708,False
brusselator,published,endpoint,y,2.38,2.4,685988295241073965/288230376151711744,86469112845513525/36028797018963968,0.02,False,2.6195562366135534,2.6374994235600875,0.017943186946534073,,2.6194169634845887,2.6374830578068673,0.01806609432227857,,,,,correctness_gate_stopped_long_run,,,,correctness_gate_stopped_long_run,,,,,,,,,,,,,,,,,,,0.9931967931999043,-0.0001229073757444965,0.0001392731289646676,1.6365753220171086e-05,7.781944109264138e-05,False
brusselator,published,tube,x,2.38,2.4,685988295241073965/288230376151711744,86469112845513525/36028797018963968,0.02,False,0.5490532240019624,0.57040983766473,0.021356613662767532,,0.5494075446568872,0.5703916841639338,0.020984139507046584,,,,,correctness_gate_stopped_long_run,,,,correctness_gate_stopped_long_run,,,,,,,,,,,,,,,,,,,1.0177502706554096,0.00037247415572094766,-0.00035432065492480014,1.8153500796147526e-05,-0.00016808357706438182,False
brusselator,published,tube,y,2.38,2.4,685988295241073965/288230376151711744,86469112845513525/36028797018963968,0.02,False,2.602214704136003,2.637673741436336,0.03545903730033295,,2.602190304091205,2.6375425025989503,0.0353521985077454,,,,,correctness_gate_stopped_long_run,,,,correctness_gate_stopped_long_run,,,,,,,,,,,,,,,,,,,1.0030221258393348,0.00010683879258754914,2.4400044797978637e-05,0.00013123883738552777,7.78194410917532e-05,False
brusselator,common,endpoint,x,2.38,2.4,685988295241073965/288230376151711744,86469112845513525/36028797018963968,0.02,False,0.5494614135244119,0.5616402988932135,0.012178885368801629,,0.5495520380073511,0.5618858415644028,0.012333803557051715,,,,,correctness_gate_stopped_long_run,,,,correctness_gate_stopped_long_run,,,,,,,,,,,,,,,,,,,0.9874395447005873,-0.00015491818825008608,-9.062448293917225e-05,-0.0002455426711892583,-0.00016808357706421528,False
brusselator,common,endpoint,y,2.38,2.4,685988295241073965/288230376151711744,86469112845513525/36028797018963968,0.02,False,2.6195562366135574,2.637499423560083,0.017943186946525636,,2.6194169634846016,2.6374830578068544,0.018066094322252813,,,,,correctness_gate_stopped_long_run,,,,correctness_gate_stopped_long_run,,,,,,,,,,,,,,,,,,,0.9931967932008532,-0.00012290737572717703,0.0001392731289557858,1.636575322860878e-05,7.78194410921973e-05,False
brusselator,common,tube,x,2.38,2.4,685988295241073965/288230376151711744,86469112845513525/36028797018963968,0.02,False,0.549053224001967,0.5704098376647255,0.02135661366275854,,0.5494075446568901,0.5703916841639309,0.02098413950704081,,,,,correctness_gate_stopped_long_run,,,,correctness_gate_stopped_long_run,,,,,,,,,,,,,,,,,,,1.017750270655261,0.000372474155717728,-0.0003543206549231348,1.8153500794593214e-05,-0.0001680835770642708,False
brusselator,common,tube,y,2.38,2.4,685988295241073965/288230376151711744,86469112845513525/36028797018963968,0.02,False,2.6022147041360193,2.637673741436319,0.035459037300299645,,2.602190304091217,2.6375425025989383,0.03535219850772142,,,,,correctness_gate_stopped_long_run,,,,correctness_gate_stopped_long_run,,,,,,,,,,,,,,,,,,,1.003022125839073,0.00010683879257822326,2.440004480241953e-05,0.0001312388373806428,7.78194410917532e-05,False
brusselator,published,endpoint,x,2.4,2.42,86469112845513525/36028797018963968,697517510287142435/288230376151711744,0.02,False,0.5415170984205565,0.5534279060807287,0.011910807660172162,,0.5416019258750625,0.5536719414047436,0.012070015529681122,,,,,correctness_gate_stopped_long_run,,,,correctness_gate_stopped_long_run,,,,,,,,,,,,,,,,,,,0.9868096383871707,-0.00015920786950895938,-8.482745450599793e-05,-0.0002440353240149573,-0.00016443138926047762,False
