plant,view,range_kind,state,comparison,scope,requested_duration,compared_duration,ratio_duration,near_zero_denominator_duration,missing_duration,full_requested_coverage,max_absolute_width_difference,max_absolute_lower_shift,max_absolute_upper_shift,max_absolute_center_shift,disjoint_duration,duration_above_1_10_plus_1e_12,max_ratio,max_at_time,weighted_median,weighted_p95,worst_numerator_width,worst_denominator_width
van_der_pol,published,tube,y,ours_vs_flowstar,ACCEPTED_COMMON_PREFIX,10.0,10.0,10.0,0.0,0.0,True,0.07950357440294886,0.06996633307513345,0.07138321213857601,0.032213171214734326,0.0,8.36,1.26227286233106,3.49,1.183551083103678,1.231182354878296,0.38096417693643336,0.3018081021189829
van_der_pol,common,endpoint,x,strict_vs_ours,DIAGNOSTIC_ONLY,10.0,0.02,0.02,0.0,9.98,False,0.00029627720873226515,0.00014842632514611154,0.00014785088358615361,2.877207799789616e-07,0.0,0.0,1.0009810096319005,0.02,1.000720662610056,1.0009810096319005,0.30230881520827335,0.3020125379995411
van_der_pol,common,endpoint,x,strict_vs_flowstar,DIAGNOSTIC_ONLY,10.0,0.02,0.02,0.0,9.98,False,8.577188034064598e-05,3.936003325155646e-05,4.641184708908952e-05,3.5259069187665304e-06,0.0,0.0,1.0002838032447696,0.02,1.0000021656609999,1.0002838032447696,0.30230881520827335,0.3022230433279327
van_der_pol,common,endpoint,x,strict_vs_parity,DIAGNOSTIC_ONLY,10.0,0.02,0.02,0.0,9.98,False,1.2611242032001257e-05,6.445522617193333e-06,6.165719414807924e-06,1.3990160119270456e-07,0.0,0.0,1.000041718162076,0.02,1.0000021656609999,1.000041718162076,0.30230881520827335,0.30229620396624135
van_der_pol,common,endpoint,x,ours_vs_flowstar,ACCEPTED_COMMON_PREFIX,10.0,10.0,10.0,0.0,0.0,True,0.03757096308216368,0.03668045274109377,0.03570088001896676,0.018159027832052643,0.0,8.53,1.278145284115084,2.85,1.197575466034062,1.2678663697581163,0.15484892860151878,0.12115127327542227
van_der_pol,common,endpoint,y,strict_vs_ours,DIAGNOSTIC_ONLY,10.0,0.02,0.02,0.0,9.98,False,0.0013271320907701778,0.0009092482721575479,0.0006619877333813307,0.00027404568369204796,0.0,0.0,1.0109400650358604,0.01,1.0088716223112946,1.0109400650358604,0.12263647407548106,0.12130934198471088
van_der_pol,common,endpoint,y,strict_vs_flowstar,DIAGNOSTIC_ONLY,10.0,0.02,0.02,0.0,9.98,False,0.0004261973158601329,0.0002519290248619299,0.00017426829099820296,3.883036693186348e-05,0.0,0.0,1.0029588210237452,0.02,1.0000197084130056,1.0029588210237452,0.14446914970797753,0.1440429523921174
van_der_pol,common,endpoint,y,strict_vs_parity,DIAGNOSTIC_ONLY,10.0,0.02,0.02,0.0,9.98,False,5.683788829768943e-05,2.493234477229933e-05,3.19055435253901e-05,3.486599376545385e-06,0.0,0.0,1.0003935806274513,0.02,1.0000197084130056,1.0003935806274513,0.14446914970797753,0.14441231181967984
van_der_pol,common,endpoint,y,ours_vs_flowstar,ACCEPTED_COMMON_PREFIX,10.0,10.0,10.0,0.0,0.0,True,0.06799630516003075,0.06319617035611858,0.065224851466535,0.032213171214734326,0.0,8.23,1.2661819569291883,3.49,1.1653677561305247,1.2513914221438933,0.3234467719928358,0.25545046683280503
van_der_pol,common,tube,x,strict_vs_ours,DIAGNOSTIC_ONLY,10.0,0.02,0.02,0.0,9.98,False,7.614994065741065e-05,3.836269110868429e-05,3.7787249548726365e-05,2.877207799789616e-07,0.0,0.0,1.0002335134532336,0.02,1.0000021180791334,1.0002335134532336,0.3261813040674175,0.3261051541267601
van_der_pol,common,tube,x,strict_vs_flowstar,DIAGNOSTIC_ONLY,10.0,0.02,0.02,0.0,9.98,False,8.577188034086802e-05,3.936003325155646e-05,4.6411847089311564e-05,3.5259069188775527e-06,0.0,0.0,1.0002630268491126,0.02,1.0000020049731966,1.0002630268491126,0.3261813040674175,0.32609553218707665
van_der_pol,common,tube,x,strict_vs_parity,DIAGNOSTIC_ONLY,10.0,0.02,0.02,0.0,9.98,False,1.2611242031779213e-05,6.445522616971289e-06,6.165719414807924e-06,1.3990160108168226e-07,0.0,0.0,1.0000386647839268,0.02,1.0000020049731966,1.0000386647839268,0.3261813040674175,0.32616869282538574
van_der_pol,common,tube,x,ours_vs_flowstar,ACCEPTED_COMMON_PREFIX,10.0,10.0,10.0,0.0,0.0,True,0.037648182910550165,0.03672509165785098,0.03575030460405715,0.018159027832052643,0.0,8.44,1.234767018508106,2.85,1.1740512670456975,1.2270782438293086,0.17734224000020327,0.1436240499964723
van_der_pol,common,tube,y,strict_vs_ours,DIAGNOSTIC_ONLY,10.0,0.02,0.02,0.0,9.98,False,0.00047715010709525885,3.547063014419649e-05,0.0005126207372394553,0.00027404568369160387,0.0,0.0,1.000040791731417,0.01,0.9972454190013885,1.000040791731417,0.1494086186999053,0.14940252431226053
van_der_pol,common,tube,y,strict_vs_flowstar,DIAGNOSTIC_ONLY,10.0,0.02,0.02,0.0,9.98,False,0.0004261973158596888,0.0002519290248619299,0.00017426829099775887,3.883036693186348e-05,0.0,0.0,1.0024733296808999,0.02,1.000016176856236,1.0024733296808999,0.1727434258482945,0.1723172285324348
van_der_pol,common,tube,y,strict_vs_parity,DIAGNOSTIC_ONLY,10.0,0.02,0.02,0.0,9.98,False,5.683788829724534e-05,2.493234477229933e-05,3.190554352494601e-05,3.486599376545385e-06,0.0,0.0,1.0003291389850753,0.02,1.000016176856236,1.0003291389850753,0.1727434258482945,0.17268658795999725
van_der_pol,common,tube,y,ours_vs_flowstar,ACCEPTED_COMMON_PREFIX,10.0,10.0,10.0,0.0,0.0,True,0.07950357440294553,0.06996633307513211,0.07138321213857446,0.032213171214734215,0.0,8.36,1.262272862331053,3.49,1.183551083103674,1.231182354878266,0.38096417693642515,0.301808102118978
