plant,step,t_end_exact,view,kind,component,reference_lo_hex,reference_hi_hex,optimized_lo_hex,optimized_hi_hex,bit_identical,width_ratio
brusselator,8,5764607523034235/36028797018963968,published,tube,x,0x1.b9f49cd344004p+0,0x1.e0b27e1f745a2p+0,0x1.b9f49cd344004p+0,0x1.e0b27e1f745a2p+0,True,1.0
brusselator,8,5764607523034235/36028797018963968,published,tube,y,0x1.43eb3fbe92eaep+1,0x1.55f80f381353bp+1,0x1.43eb3fbe92eaep+1,0x1.55f80f381353bp+1,True,1.0
brusselator,8,5764607523034235/36028797018963968,common,endpoint,x,0x1.c56d97223e918p+0,0x1.e0af422b3aa19p+0,0x1.c56d97223e918p+0,0x1.e0af422b3aa19p+0,True,1.0
brusselator,8,5764607523034235/36028797018963968,common,endpoint,y,0x1.447826c30660cp+1,0x1.4da2bc2633fe3p+1,0x1.447826c30660cp+1,0x1.4da2bc2633fe3p+1,True,1.0
brusselator,8,5764607523034235/36028797018963968,common,tube,x,0x1.b9f49cd34402dp+0,0x1.e0b27e1f74578p+0,0x1.b9f49cd34402dp+0,0x1.e0b27e1f74578p+0,True,1.0
brusselator,8,5764607523034235/36028797018963968,common,tube,y,0x1.43eb3fbe92ed6p+1,0x1.55f80f3813514p+1,0x1.43eb3fbe92ed6p+1,0x1.55f80f3813514p+1,True,1.0
brusselator,9,51881467707308115/288230376151711744,published,endpoint,x,0x1.cfc5a1e3b73b6p+0,0x1.eda6a8ce350d1p+0,0x1.cfc5a1e3b73b6p+0,0x1.eda6a8ce350d1p+0,True,1.0
brusselator,9,51881467707308115/288230376151711744,published,endpoint,y,0x1.3c36bed4a38dfp+1,0x1.45e61e9c423f9p+1,0x1.3c36bed4a38dfp+1,0x1.45e61e9c423f9p+1,True,1.0
brusselator,9,51881467707308115/288230376151711744,published,tube,x,0x1.c41a780eb0ae9p+0,0x1.edaabaffb2fcdp+0,0x1.c41a780eb0ae9p+0,0x1.edaabaffb2fcdp+0,True,1.0
brusselator,9,51881467707308115/288230376151711744,published,tube,y,0x1.3b9b043473328p+1,0x1.4e808aa39686cp+1,0x1.3b9b043473328p+1,0x1.4e808aa39686cp+1,True,1.0
brusselator,9,51881467707308115/288230376151711744,common,endpoint,x,0x1.cfc5a1e3b73c4p+0,0x1.eda6a8ce350c2p+0,0x1.cfc5a1e3b73c4p+0,0x1.eda6a8ce350c2p+0,True,1.0
brusselator,9,51881467707308115/288230376151711744,common,endpoint,y,0x1.3c36bed4a38edp+1,0x1.45e61e9c423ebp+1,0x1.3c36bed4a38edp+1,0x1.45e61e9c423ebp+1,True,1.0
brusselator,9,51881467707308115/288230376151711744,common,tube,x,0x1.c41a780eb0b13p+0,0x1.edaabaffb2fa2p+0,0x1.c41a780eb0b13p+0,0x1.edaabaffb2fa2p+0,True,1.0
brusselator,9,51881467707308115/288230376151711744,common,tube,y,0x1.3b9b043473350p+1,0x1.4e808aa396842p+1,0x1.3b9b043473350p+1,0x1.4e808aa396842p+1,True,1.0
brusselator,10,28823037615171175/144115188075855872,published,endpoint,x,0x1.da3ac77c7ee8ap+0,0x1.fac3609753080p+0,0x1.da3ac77c7ee8ap+0,0x1.fac3609753080p+0,True,1.0
brusselator,10,28823037615171175/144115188075855872,published,endpoint,y,0x1.33ca276169b24p+1,0x1.3df774a7275f4p+1,0x1.33ca276169b24p+1,0x1.3df774a7275f4p+1,True,1.0
brusselator,10,28823037615171175/144115188075855872,published,tube,x,0x1.ce6d885086ebap+0,0x1.fac8595816174p+0,0x1.ce6d885086ebap+0,0x1.fac8595816174p+0,True,1.0
brusselator,10,28823037615171175/144115188075855872,published,tube,y,0x1.331f005f37e9bp+1,0x1.46cfe7624cadep+1,0x1.331f005f37e9bp+1,0x1.46cfe7624cadep+1,True,1.0
brusselator,10,28823037615171175/144115188075855872,common,endpoint,x,0x1.da3ac77c7ee97p+0,0x1.fac3609753074p+0,0x1.da3ac77c7ee97p+0,0x1.fac3609753074p+0,True,1.0
brusselator,10,28823037615171175/144115188075855872,common,endpoint,y,0x1.33ca276169b31p+1,0x1.3df774a7275e7p+1,0x1.33ca276169b31p+1,0x1.3df774a7275e7p+1,True,1.0
brusselator,10,28823037615171175/144115188075855872,common,tube,x,0x1.ce6d885086ee1p+0,0x1.fac859581614ep+0,0x1.ce6d885086ee1p+0,0x1.fac859581614ep+0,True,1.0
brusselator,10,28823037615171175/144115188075855872,common,tube,y,0x1.331f005f37ec3p+1,0x1.46cfe7624cab5p+1,0x1.331f005f37ec3p+1,0x1.46cfe7624cab5p+1,True,1.0
brusselator,11,63410682753376585/288230376151711744,published,endpoint,x,0x1.e4bf61c3a6ee0p+0,0x1.03f6a49a84998p+1,0x1.e4bf61c3a6ee0p+0,0x1.03f6a49a84998p+1,True,1.0
brusselator,11,63410682753376585/288230376151711744,published,endpoint,y,0x1.2b3d1c1b48b20p+1,0x1.35de6b23a68fep+1,0x1.2b3d1c1b48b20p+1,0x1.35de6b23a68fep+1,True,1.0
brusselator,11,63410682753376585/288230376151711744,published,tube,x,0x1.d8e2e3408c69cp+0,0x1.03f99893a6623p+1,0x1.d8e2e3408c69cp+0,0x1.03f99893a6623p+1,True,1.0
brusselator,11,63410682753376585/288230376151711744,published,tube,y,0x1.2a823f02e56ddp+1,0x1.3eebfc52dd722p+1,0x1.2a823f02e56ddp+1,0x1.3eebfc52dd722p+1,True,1.0
brusselator,11,63410682753376585/288230376151711744,common,endpoint,x,0x1.e4bf61c3a6eedp+0,0x1.03f6a49a8498dp+1,0x1.e4bf61c3a6eedp+0,0x1.03f6a49a8498dp+1,True,1.0
brusselator,11,63410682753376585/288230376151711744,common,endpoint,y,0x1.2b3d1c1b48b2ep+1,0x1.35de6b23a68f0p+1,0x1.2b3d1c1b48b2ep+1,0x1.35de6b23a68f0p+1,True,1.0
brusselator,11,63410682753376585/288230376151711744,common,tube,x,0x1.d8e2e3408c6c5p+0,0x1.03f99893a6603p+1,0x1.d8e2e3408c6c5p+0,0x1.03f99893a6603p+1,True,1.0
brusselator,11,63410682753376585/288230376151711744,common,tube,y,0x1.2a823f02e5706p+1,0x1.3eebfc52dd6f9p+1,0x1.2a823f02e5706p+1,0x1.3eebfc52dd6f9p+1,True,1.0
brusselator,12,17293822569102705/72057594037927936,published,endpoint,x,0x1.ef4404db5030bp+0,0x1.0a846ea72008ep+1,0x1.ef4404db5030bp+0,0x1.0a846ea72008ep+1,True,1.0
brusselator,12,17293822569102705/72057594037927936,published,endpoint,y,0x1.229bed344acf2p+1,0x1.2da4171bca5e7p+1,0x1.229bed344acf2p+1,0x1.2da4171bca5e7p+1,True,1.0
brusselator,12,17293822569102705/72057594037927936,published,tube,x,0x1.e36a43af9a77cp+0,0x1.0a89956533fe3p+1,0x1.e36a43af9a77cp+0,0x1.0a89956533fe3p+1,True,1.0
brusselator,12,17293822569102705/72057594037927936,published,tube,y,0x1.21d16a3250f0dp+1,0x1.36dc06c5bd267p+1,0x1.21d16a3250f0dp+1,0x1.36dc06c5bd267p+1,True,1.0
brusselator,12,17293822569102705/72057594037927936,common,endpoint,x,0x1.ef4404db5031cp+0,0x1.0a846ea720082p+1,0x1.ef4404db5031cp+0,0x1.0a846ea720082p+1,True,1.0
brusselator,12,17293822569102705/72057594037927936,common,endpoint,y,0x1.229bed344acffp+1,0x1.2da4171bca5d9p+1,0x1.229bed344acffp+1,0x1.2da4171bca5d9p+1,True,1.0
brusselator,12,17293822569102705/72057594037927936,common,tube,x,0x1.e36a43af9a7a3p+0,0x1.0a89956533fbbp+1,0x1.e36a43af9a7a3p+0,0x1.0a89956533fbbp+1,True,1.0
brusselator,12,17293822569102705/72057594037927936,common,tube,y,0x1.21d16a3250f36p+1,0x1.36dc06c5bd23dp+1,0x1.21d16a3250f36p+1,0x1.36dc06c5bd23dp+1,True,1.0
brusselator,13,74939897799445055/288230376151711744,published,endpoint,x,0x1.f9b752fc4cdf3p+0,0x1.10fbf558a09bcp+1,0x1.f9b752fc4cdf3p+0,0x1.10fbf558a09bcp+1,True,1.0
brusselator,13,74939897799445055/288230376151711744,published,endpoint,y,0x1.19f425caa7d10p+1,0x1.255315f0bb682p+1,0x1.19f425caa7d10p+1,0x1.255315f0bb682p+1,True,1.0
brusselator,13,74939897799445055/288230376151711744,published,tube,x,0x1.edef9ab1323d5p+0,0x1.11078a05e43c1p+1,0x1.edef9ab1323d5p+0,0x1.11078a05e43c1p+1,True,1.0
brusselator,13,74939897799445055/288230376151711744,published,tube,y,0x1.191a71aa1ed5cp+1,0x1.2ea8de21d4506p+1,0x1.191a71aa1ed5cp+1,0x1.2ea8de21d4506p+1,True,1.0
brusselator,13,74939897799445055/288230376151711744,common,endpoint,x,0x1.f9b752fc4ce05p+0,0x1.10fbf558a09afp+1,0x1.f9b752fc4ce05p+0,0x1.10fbf558a09afp+1,True,1.0
brusselator,13,74939897799445055/288230376151711744,common,endpoint,y,0x1.19f425caa7d1dp+1,0x1.255315f0bb674p+1,0x1.19f425caa7d1dp+1,0x1.255315f0bb674p+1,True,1.0
brusselator,13,74939897799445055/288230376151711744,common,tube,x,0x1.edef9ab13240ap+0,0x1.11078a05e439ap+1,0x1.edef9ab13240ap+0,0x1.11078a05e439ap+1,True,1.0
brusselator,13,74939897799445055/288230376151711744,common,tube,y,0x1.191a71aa1ed83p+1,0x1.2ea8de21d44dep+1,0x1.191a71aa1ed83p+1,0x1.2ea8de21d44dep+1,True,1.0
brusselator,14,40352252661239645/144115188075855872,published,endpoint,x,0x1.01f7973861e61p+1,0x1.1758a8035a72cp+1,0x1.01f7973861e61p+1,0x1.1758a8035a72cp+1,True,1.0
brusselator,14,40352252661239645/144115188075855872,published,endpoint,y,0x1.10df461ea76efp+1,0x1.1d6c6607110d1p+1,0x1.10df461ea76efp+1,0x1.1d6c6607110d1p+1,True,1.0
brusselator,14,40352252661239645/144115188075855872,published,tube,x,0x1.f84db5d0679f8p+0,0x1.176d605e50914p+1,0x1.f84db5d0679f8p+0,0x1.176d605e50914p+1,True,1.0
brusselator,14,40352252661239645/144115188075855872,published,tube,y,0x1.0fe0d078c86c9p+1,0x1.26e8567452e00p+1,0x1.0fe0d078c86c9p+1,0x1.26e8567452e00p+1,True,1.0
brusselator,14,40352252661239645/144115188075855872,common,endpoint,x,0x1.01f7973861e6fp+1,0x1.1758a8035a720p+1,0x1.01f7973861e6fp+1,0x1.1758a8035a720p+1,True,1.0
brusselator,14,40352252661239645/144115188075855872,common,endpoint,y,0x1.10df461ea76fdp+1,0x1.1d6c6607110c3p+1,0x1.10df461ea76fdp+1,0x1.1d6c6607110c3p+1,True,1.0
brusselator,14,40352252661239645/144115188075855872,common,tube,x,0x1.f84db5d067a2ep+0,0x1.176d605e508edp+1,0x1.f84db5d067a2ep+0,0x1.176d605e508edp+1,True,1.0
brusselator,14,40352252661239645/144115188075855872,common,tube,y,0x1.0fe0d078c86f1p+1,0x1.26e8567452dd7p+1,0x1.0fe0d078c86f1p+1,0x1.26e8567452dd7p+1,True,1.0
