plant,batch,parent_group,reason,ready_requests,ready_keys,selected_key,selected_key_ready_requests,unavailable_tasks,projected_packet_requests,projected_packet_keys,parent_selected_requests,other_key_ready_requests,projected_device_submissions_saved,projected_kernel_launches_saved,projected_h2d_copy_operations_saved,projected_d2h_copy_operations_saved,projected_hot_device_allocations_saved,classification
van_der_pol,8,106,all_waiting,5,1,3b967ea5672df8f512dda0a80861371359edad440146c55739477a2e065dc809,5,3,5,1,5,0,0,0,6,2,16,ARRIVAL_LIMITED
van_der_pol,8,107,all_waiting,4,2,931d7f1a045ed3f8b63a1ab815603ea0330378671c108159a79204d7f44a1b8a,3,4,4,2,3,1,1,4,14,6,32,KEY_SPLIT
van_der_pol,8,108,all_waiting,7,1,3b967ea5672df8f512dda0a80861371359edad440146c55739477a2e065dc809,7,1,7,1,7,0,0,0,6,2,16,ARRIVAL_LIMITED
van_der_pol,8,109,all_waiting,7,2,3b967ea5672df8f512dda0a80861371359edad440146c55739477a2e065dc809,3,1,7,2,3,4,1,4,14,6,32,KEY_SPLIT
van_der_pol,8,110,all_waiting,8,2,01119be2a5a8aa018ac89bac003bcf029f0aa860e85121d357a46689de5e9d49,4,0,8,2,4,4,1,4,14,6,32,KEY_SPLIT
van_der_pol,8,111,all_waiting,5,2,3b967ea5672df8f512dda0a80861371359edad440146c55739477a2e065dc809,4,3,5,2,4,1,1,4,14,6,32,KEY_SPLIT
van_der_pol,8,112,all_waiting,1,1,385507218f6db8f1fb38735779086c2ef4ed66edf061ae6bf6228117f3ba99c0,1,7,1,1,1,0,0,0,6,2,16,ARRIVAL_LIMITED
van_der_pol,8,113,all_waiting,7,3,749ee35038165998023b9f8158cfc0ffc7b230564767d056c77b47f4dc1d430e,3,1,7,3,3,4,2,8,22,10,48,KEY_SPLIT
van_der_pol,8,114,all_waiting,5,3,3b967ea5672df8f512dda0a80861371359edad440146c55739477a2e065dc809,3,3,5,3,3,2,2,8,22,10,48,KEY_SPLIT
van_der_pol,8,115,all_waiting,7,4,01119be2a5a8aa018ac89bac003bcf029f0aa860e85121d357a46689de5e9d49,2,1,7,4,2,5,3,12,30,14,64,KEY_SPLIT
van_der_pol,8,116,all_waiting,8,4,6d441b4e0b5685334636dccf34ccc79cc57cf955d08baac13b0e9b6fe007bf2d,1,0,8,4,1,7,3,12,30,14,64,KEY_SPLIT
van_der_pol,8,117,all_waiting,7,3,4cff3a8f1bc9931e161dbc1029442ac9c773b201139e1322b0bcb9994bcc277f,3,1,7,3,3,4,2,8,22,10,48,KEY_SPLIT
van_der_pol,8,118,all_waiting,8,3,3b967ea5672df8f512dda0a80861371359edad440146c55739477a2e065dc809,2,0,8,3,2,6,2,8,22,10,48,KEY_SPLIT
van_der_pol,8,119,all_waiting,6,2,749ee35038165998023b9f8158cfc0ffc7b230564767d056c77b47f4dc1d430e,5,2,6,2,5,1,1,4,14,6,32,KEY_SPLIT
van_der_pol,8,120,all_waiting,1,1,385507218f6db8f1fb38735779086c2ef4ed66edf061ae6bf6228117f3ba99c0,1,7,1,1,1,0,0,0,6,2,16,ARRIVAL_LIMITED
van_der_pol,8,121,all_waiting,8,4,f972330f86ae87f46c91a2dbafbc103d1bba83b64e8ef6b75409d8a5c4d9e90d,3,0,8,4,3,5,3,12,30,14,64,KEY_SPLIT
van_der_pol,8,122,all_waiting,7,4,01119be2a5a8aa018ac89bac003bcf029f0aa860e85121d357a46689de5e9d49,2,1,7,4,2,5,3,12,30,14,64,KEY_SPLIT
van_der_pol,8,123,all_waiting,8,4,4cff3a8f1bc9931e161dbc1029442ac9c773b201139e1322b0bcb9994bcc277f,2,0,8,4,2,6,3,12,30,14,64,KEY_SPLIT
van_der_pol,8,124,all_waiting,8,3,6d441b4e0b5685334636dccf34ccc79cc57cf955d08baac13b0e9b6fe007bf2d,1,0,8,3,1,7,2,8,22,10,48,KEY_SPLIT
van_der_pol,8,125,all_waiting,7,2,159f5b83b21c6a65ec65c807acf015eac59574f534833c257ddb59c244a97cdc,3,1,7,2,3,4,1,4,14,6,32,KEY_SPLIT
van_der_pol,8,126,all_waiting,4,1,749ee35038165998023b9f8158cfc0ffc7b230564767d056c77b47f4dc1d430e,4,4,4,1,4,0,0,0,6,2,16,ARRIVAL_LIMITED
van_der_pol,8,127,all_waiting,4,2,931d7f1a045ed3f8b63a1ab815603ea0330378671c108159a79204d7f44a1b8a,1,4,4,2,1,3,1,4,14,6,32,KEY_SPLIT
van_der_pol,8,128,all_waiting,4,1,f972330f86ae87f46c91a2dbafbc103d1bba83b64e8ef6b75409d8a5c4d9e90d,4,4,4,1,4,0,0,0,6,2,16,ARRIVAL_LIMITED
van_der_pol,8,129,all_waiting,7,4,4cff3a8f1bc9931e161dbc1029442ac9c773b201139e1322b0bcb9994bcc277f,2,1,7,4,2,5,3,12,30,14,64,KEY_SPLIT
van_der_pol,8,130,all_waiting,5,3,f972330f86ae87f46c91a2dbafbc103d1bba83b64e8ef6b75409d8a5c4d9e90d,1,3,5,3,1,4,2,8,22,10,48,KEY_SPLIT
van_der_pol,8,131,all_waiting,4,2,3b967ea5672df8f512dda0a80861371359edad440146c55739477a2e065dc809,1,4,4,2,1,3,1,4,14,6,32,KEY_SPLIT
van_der_pol,8,132,all_waiting,7,2,159f5b83b21c6a65ec65c807acf015eac59574f534833c257ddb59c244a97cdc,5,1,7,2,5,2,1,4,14,6,32,KEY_SPLIT
van_der_pol,8,133,all_waiting,6,3,749ee35038165998023b9f8158cfc0ffc7b230564767d056c77b47f4dc1d430e,2,2,6,3,2,4,2,8,22,10,48,KEY_SPLIT
van_der_pol,8,134,all_waiting,8,3,3b967ea5672df8f512dda0a80861371359edad440146c55739477a2e065dc809,1,0,8,3,1,7,2,8,22,10,48,KEY_SPLIT
van_der_pol,8,135,all_waiting,7,2,d3c76509c2bf538f46ac39d71c21e6acb15ea9b41068da6e1755874100e5d221,3,1,7,2,3,4,1,4,14,6,32,KEY_SPLIT
van_der_pol,8,136,all_waiting,8,3,f972330f86ae87f46c91a2dbafbc103d1bba83b64e8ef6b75409d8a5c4d9e90d,4,0,8,3,4,4,2,8,22,10,48,KEY_SPLIT
van_der_pol,8,137,all_waiting,8,3,3b967ea5672df8f512dda0a80861371359edad440146c55739477a2e065dc809,1,0,8,3,1,7,2,8,22,10,48,KEY_SPLIT
van_der_pol,8,138,all_waiting,7,2,931d7f1a045ed3f8b63a1ab815603ea0330378671c108159a79204d7f44a1b8a,3,1,7,2,3,4,1,4,14,6,32,KEY_SPLIT
