plant,step,exact_time,view,coordinate,reference,reference_data_origin,observer,gpu_lo_hex,gpu_hi_hex,reference_lo_hex,reference_hi_hex,gpu_width,reference_width,width_ratio,lower_abs_diff,upper_abs_diff,center_abs_diff,near_zero_reference,width_ratio_over_1p10
van_der_pol,124,178702833214061285/144115188075855872,endpoint,x,stock_flowstar,REUSED_MATCHED_REFERENCE_COMPLETE_OBJECT,CURRENT_STRICT_CORRECTED_CPU_RANGE_ON_COMPLETE_SAVED_OBJECT,0x1.bf4665790b894p+0,0x1.d1d72faf8f546p+0,0x1.c17a87d67c3c4p+0,0x1.d1c723e23845ap+0,0.07252181845596484,0.06366896902549035,1.139044962812735,0.008608005344921565,0.0002448440855529199,0.004181580629684323,False,True
van_der_pol,124,178702833214061285/144115188075855872,tube,x,stock_flowstar,REUSED_MATCHED_REFERENCE_COMPLETE_OBJECT,CURRENT_STRICT_CORRECTED_CPU_RANGE_ON_COMPLETE_SAVED_OBJECT,0x1.bf45e4d421f4fp+0,0x1.d350b60d6e5b6p+0,0x1.c17a864390f88p+0,0x1.d3402b2e18fc1p+0,0.07829005860221527,0.06942206121313022,1.1277403354800966,0.008615579324226852,0.0002524180648582064,0.004181580629684434,False,True
van_der_pol,125,720575940379279375/576460752303423488,endpoint,x,stock_flowstar,REUSED_MATCHED_REFERENCE_COMPLETE_OBJECT,CURRENT_STRICT_CORRECTED_CPU_RANGE_ON_COMPLETE_SAVED_OBJECT,0x1.bdd57f82dc201p+0,0x1.d04f2e7be3a8fp+0,0x1.c00d6b586d0c6p+0,0x1.d03edc4519d8fp+0,0.07216924266643643,0.06325441148946909,1.1409361176089912,0.008665790214693603,0.00024904096227373884,0.004208374626209932,False,True
van_der_pol,125,720575940379279375/576460752303423488,tube,x,stock_flowstar,REUSED_MATCHED_REFERENCE_COMPLETE_OBJECT,CURRENT_STRICT_CORRECTED_CPU_RANGE_ON_COMPLETE_SAVED_OBJECT,0x1.bdd5024e71ce1p+0,0x1.d1cc1f45285aep+0,0x1.c00d69dec73c0p+0,0x1.d1bb51539a094p+0,0.07798939727085785,0.06905981638083336,1.1293021232605358,0.008673165071222178,0.00025641581880231357,0.004208374626209821,False,True
van_der_pol,126,363170273951156805/288230376151711744,endpoint,x,stock_flowstar,REUSED_MATCHED_REFERENCE_COMPLETE_OBJECT,CURRENT_STRICT_CORRECTED_CPU_RANGE_ON_COMPLETE_SAVED_OBJECT,0x1.bc60b2b14f344p+0,0x1.cec4498c848d0p+0,0x1.be9c65c5197cdp+0,0x1.ceb3b0aa33222p+0,0.07183211185233329,0.06285541623369295,1.1428149896464845,0.008723442393860248,0.00025325322478009227,0.004235094584540078,False,True
van_der_pol,126,363170273951156805/288230376151711744,tube,x,stock_flowstar,REUSED_MATCHED_REFERENCE_COMPLETE_OBJECT,CURRENT_STRICT_CORRECTED_CPU_RANGE_ON_COMPLETE_SAVED_OBJECT,0x1.bc6038ce4db3ap+0,0x1.d0449c4fed9dbp+0,0x1.be9c6463f7611p+0,0x1.d0338aebbccdfp+0,0.07770368494667701,0.06871262373663312,1.1308502094826929,0.008730625189562025,0.000260436020481869,0.004235094584540189,False,True
van_der_pol,127,732105155425347845/576460752303423488,endpoint,x,stock_flowstar,REUSED_MATCHED_REFERENCE_COMPLETE_OBJECT,CURRENT_STRICT_CORRECTED_CPU_RANGE_ON_COMPLETE_SAVED_OBJECT,0x1.bae80a04c6a67p+0,0x1.cd3685dfedb65p+0,0x1.bd2782862e9f4p+0,0x1.cd25a60fbe4cep+0,0.07151006794362003,0.0624716006129149,1.1446812190183675,0.008780986398025492,0.00025748093267963235,0.00426175273267293,False,True
van_der_pol,127,732105155425347845/576460752303423488,tube,x,stock_flowstar,REUSED_MATCHED_REFERENCE_COMPLETE_OBJECT,CURRENT_STRICT_CORRECTED_CPU_RANGE_ON_COMPLETE_SAVED_OBJECT,0x1.bae7935538643p+0,0x1.ceba32bc0200bp+0,0x1.bd27813cd67b5p+0,0x1.cea8dd859c78fp+0,0.07743259677373437,0.06838013436025969,1.1323843905567943,0.008787983939410271,0.0002644784740644113,0.00426175273267293,False,True
van_der_pol,128,5764607523034235/4503599627370496,endpoint,x,stock_flowstar,REUSED_MATCHED_REFERENCE_COMPLETE_OBJECT,CURRENT_STRICT_CORRECTED_CPU_RANGE_ON_COMPLETE_SAVED_OBJECT,0x1.b96b8fd7cb13dp+0,0x1.cba5e80128453p+0,0x1.bbaecc5d08877p+0,0x1.cb94c1011db56p+0,0.07120276460518005,0.062102594432125846,1.146534460536912,0.008838446168239589,0.0002617240048146119,0.004288361081712488,False,True
van_der_pol,128,5764607523034235/4503599627370496,tube,x,stock_flowstar,REUSED_MATCHED_REFERENCE_COMPLETE_OBJECT,CURRENT_STRICT_CORRECTED_CPU_RANGE_ON_COMPLETE_SAVED_OBJECT,0x1.b96b1c3ed31a2p+0,0x1.cd2ce79ffbf1dp+0,0x1.bbaecb2ac864ap+0,0x1.cd1b4e39398b2p+0,0.0771758186536704,0.06806201078975427,1.1339044756122323,0.008845265013670556,0.0002685428502455789,0.004288361081712377,False,True
