age,boundary,cumulative_materialized_width_max_components,event_index,materialized_width_max_component,record_type,slot,source_boundary_index,source_category,source_category_id,source_occurrence_index,status
[109],126,0.0405432117326057,250,0.0003804912441176639,capacity_eviction,[13],[109],"[""polynomial_truncation""]",[1],[0],observed_on_sound_common_prefix
[110],127,0.04062370977290409,252,8.049804029838992e-05,capacity_eviction,[14],[110],"[""polynomial_truncation""]",[1],[0],observed_on_sound_common_prefix
[111],128,0.04073028642041179,254,0.00010657664750770679,capacity_eviction,[15],[111],"[""polynomial_truncation""]",[1],[0],observed_on_sound_common_prefix
[112],129,0.0408709820896802,256,0.00014069566926840923,capacity_eviction,[0],[112],"[""polynomial_truncation""]",[1],[0],observed_on_sound_common_prefix
[113],130,0.041055631256431864,258,0.00018464916675166453,capacity_eviction,[1],[113],"[""polynomial_truncation""]",[1],[0],observed_on_sound_common_prefix
[114],131,0.04129622250322263,260,0.0002405912467907653,capacity_eviction,[2],[114],"[""polynomial_truncation""]",[1],[0],observed_on_sound_common_prefix
[115],132,0.04160577217002523,262,0.0003095496668025953,capacity_eviction,[3],[115],"[""polynomial_truncation""]",[1],[0],observed_on_sound_common_prefix
[116],133,0.0420037402763993,264,0.00039796810637407004,capacity_eviction,[4],[116],"[""polynomial_truncation""]",[1],[0],observed_on_sound_common_prefix
[117],134,0.04208874350006885,266,8.500322366955395e-05,capacity_eviction,[5],[117],"[""polynomial_truncation""]",[1],[0],observed_on_sound_common_prefix
[118],135,0.04219789401215856,268,0.00010915051208970497,capacity_eviction,[6],[118],"[""polynomial_truncation""]",[1],[0],observed_on_sound_common_prefix
[119],136,0.04233308451139617,270,0.00013519049923761271,capacity_eviction,[7],[119],"[""polynomial_truncation""]",[1],[0],observed_on_sound_common_prefix
[120],137,0.04249507083863303,272,0.0001619863272368589,capacity_eviction,[8],[120],"[""polynomial_truncation""]",[1],[0],observed_on_sound_common_prefix
[121],138,0.042685700511495346,274,0.00019062967286232195,capacity_eviction,[9],[121],"[""polynomial_truncation""]",[1],[0],observed_on_sound_common_prefix
[122],139,0.042907046081035516,276,0.0002213455695401674,capacity_eviction,[10],[122],"[""polynomial_truncation""]",[1],[0],observed_on_sound_common_prefix
[123],140,0.04316080181133331,278,0.00025375573029779705,capacity_eviction,[11],[123],"[""polynomial_truncation""]",[1],[0],observed_on_sound_common_prefix
[124],141,0.04345616858692095,280,0.0002953667755876413,capacity_eviction,[12],[124],"[""polynomial_truncation""]",[1],[0],observed_on_sound_common_prefix
[125],142,0.04382892166210155,282,0.0003727530751805914,capacity_eviction,[13],[125],"[""polynomial_truncation""]",[1],[0],observed_on_sound_common_prefix
[126],143,0.04390716965189091,284,7.824798978936478e-05,capacity_eviction,[14],[126],"[""polynomial_truncation""]",[1],[0],observed_on_sound_common_prefix
[127],144,0.04400496154532913,286,9.779189343821868e-05,capacity_eviction,[15],[127],"[""polynomial_truncation""]",[1],[0],observed_on_sound_common_prefix
[128],145,0.04412749027274201,288,0.00012252872741287996,capacity_eviction,[0],[128],"[""polynomial_truncation""]",[1],[0],observed_on_sound_common_prefix
[129],146,0.044285689904544415,290,0.00015819963180240473,capacity_eviction,[1],[129],"[""polynomial_truncation""]",[1],[0],observed_on_sound_common_prefix
[130],147,0.044493774288681294,292,0.00020808438413688081,capacity_eviction,[2],[130],"[""polynomial_truncation""]",[1],[0],observed_on_sound_common_prefix
[131],148,0.044770753141936334,294,0.00027697885325503693,capacity_eviction,[3],[131],"[""polynomial_truncation""]",[1],[0],observed_on_sound_common_prefix
[132],149,0.04514108950436552,296,0.00037033636242918093,capacity_eviction,[4],[132],"[""polynomial_truncation""]",[1],[0],observed_on_sound_common_prefix
[133],150,0.04563610843367313,298,0.0004950189293076099,capacity_eviction,[5],[133],"[""polynomial_truncation""]",[1],[0],observed_on_sound_common_prefix
[134],151,0.04629095214922208,300,0.0006548437155489571,capacity_eviction,[6],[134],"[""polynomial_truncation""]",[1],[0],observed_on_sound_common_prefix
[135],152,0.04642064451910026,302,0.00012969236987817823,capacity_eviction,[7],[135],"[""polynomial_truncation""]",[1],[0],observed_on_sound_common_prefix
[136],153,0.04658549284718907,304,0.0001648483280888081,capacity_eviction,[8],[136],"[""polynomial_truncation""]",[1],[0],observed_on_sound_common_prefix
[137],154,0.04680150402424329,306,0.00021601117705422133,capacity_eviction,[9],[137],"[""polynomial_truncation""]",[1],[0],observed_on_sound_common_prefix
[138],155,0.047086155841396644,308,0.00028465181715335374,capacity_eviction,[10],[138],"[""polynomial_truncation""]",[1],[0],observed_on_sound_common_prefix
[139],156,0.04745912930563102,310,0.0003729734642343772,capacity_eviction,[11],[139],"[""polynomial_truncation""]",[1],[0],observed_on_sound_common_prefix
[140],157,0.04794255000591648,312,0.00048342070028546235,capacity_eviction,[12],[140],"[""polynomial_truncation""]",[1],[0],observed_on_sound_common_prefix
[141],158,0.0485604026849288,314,0.0006178526790123159,capacity_eviction,[13],[141],"[""polynomial_truncation""]",[1],[0],observed_on_sound_common_prefix
[142],159,0.04935471811099143,316,0.0007943154260626314,capacity_eviction,[14],[142],"[""polynomial_truncation""]",[1],[0],observed_on_sound_common_prefix
[143],160,0.04951499237845258,318,0.0001602742674611492,capacity_eviction,[15],[143],"[""polynomial_truncation""]",[1],[0],observed_on_sound_common_prefix
[144],161,0.04971399380150825,320,0.00019900142305566393,capacity_eviction,[0],[144],"[""polynomial_truncation""]",[1],[0],observed_on_sound_common_prefix
[145],162,0.04996115466021345,322,0.0002471608587051976,capacity_eviction,[1],[145],"[""polynomial_truncation""]",[1],[0],observed_on_sound_common_prefix
[146],163,0.05026717057781504,324,0.00030601591760158914,capacity_eviction,[2],[146],"[""polynomial_truncation""]",[1],[0],observed_on_sound_common_prefix
[147],164,0.050644780229358505,326,0.0003776096515434662,capacity_eviction,[3],[147],"[""polynomial_truncation""]",[1],[0],observed_on_sound_common_prefix
,,0.050644780229358505,,,terminal_attribution,,,,,,not_run_after_stop
