window,plant,step,history_before,replay_calls,category,exclusive_seconds,inclusive_seconds_diagnostic_only,calls
brusselator_0001_0020,brusselator,13,12,7,refinement_fixed_polynomial,0.4457831415347755,0.4457831415347755,273
brusselator_0001_0020,brusselator,13,12,7,refinement_dynamic,0.07321431720629334,1.036497042980045,8
brusselator_0001_0020,brusselator,13,12,7,boundary_endpoint,0.09349573217332363,0.8758517610840499,2
brusselator_0001_0020,brusselator,13,12,7,cross_step_history,0.7823560289107263,0.7823560289107263,2
brusselator_0001_0020,brusselator,13,12,7,python_tensor_dispatch_and_other,0.03775858040899038,0.03775858040899038,1
brusselator_0001_0020,brusselator,14,13,7,polynomial_multiply_truncate_range,0.2740329862572253,0.2740329862572253,166
brusselator_0001_0020,brusselator,14,13,7,candidate_polynomial,0.02629091078415513,0.20666965190321207,1
brusselator_0001_0020,brusselator,14,13,7,initial_remainder,0.010356678161770105,0.0739935589954257,1
brusselator_0001_0020,brusselator,14,13,7,refinement_fixed_polynomial,0.44537220476195216,0.44537220476195216,273
brusselator_0001_0020,brusselator,14,13,7,refinement_dynamic,0.07369492622092366,1.0365973552688956,8
brusselator_0001_0020,brusselator,14,13,7,boundary_endpoint,0.1019115773960948,0.9277161848731339,2
brusselator_0001_0020,brusselator,14,13,7,cross_step_history,0.8258046074770391,0.8258046074770391,2
brusselator_0001_0020,brusselator,14,13,7,python_tensor_dispatch_and_other,0.03808901319280267,0.03808901319280267,1
brusselator_0001_0020,brusselator,15,14,7,polynomial_multiply_truncate_range,0.27373125264421105,0.27373125264421105,166
brusselator_0001_0020,brusselator,15,14,7,candidate_polynomial,0.026610477827489376,0.20661498978734016,1
brusselator_0001_0020,brusselator,15,14,7,initial_remainder,0.010414169169962406,0.07435990404337645,1
brusselator_0001_0020,brusselator,15,14,7,refinement_fixed_polynomial,0.4491707067936659,0.4491707067936659,273
brusselator_0001_0020,brusselator,15,14,7,refinement_dynamic,0.07335019018501043,1.0435112221166492,8
brusselator_0001_0020,brusselator,15,14,7,boundary_endpoint,0.1036143028177321,0.983440029900521,2
brusselator_0001_0020,brusselator,15,14,7,cross_step_history,0.8798257270827889,0.8798257270827889,2
brusselator_0001_0020,brusselator,15,14,7,python_tensor_dispatch_and_other,0.038397854659706354,0.038397854659706354,1
brusselator_0001_0020,brusselator,16,15,7,polynomial_multiply_truncate_range,0.27308710385113955,0.27308710385113955,166
brusselator_0001_0020,brusselator,16,15,7,candidate_polynomial,0.026527876500040293,0.20637025637552142,1
brusselator_0001_0020,brusselator,16,15,7,initial_remainder,0.010448051150888205,0.07389986235648394,1
brusselator_0001_0020,brusselator,16,15,7,refinement_fixed_polynomial,0.44446073938161135,0.44446073938161135,273
brusselator_0001_0020,brusselator,16,15,7,refinement_dynamic,0.0734652834944427,1.0341691211797297,8
brusselator_0001_0020,brusselator,16,15,7,boundary_endpoint,0.10753740090876818,1.0087651046924293,2
brusselator_0001_0020,brusselator,16,15,7,cross_step_history,0.9012277037836611,0.9012277037836611,2
brusselator_0001_0020,brusselator,16,15,7,python_tensor_dispatch_and_other,0.03828489687293768,0.03828489687293768,1
brusselator_0001_0020,brusselator,17,16,7,polynomial_multiply_truncate_range,0.2730631995946169,0.2730631995946169,166
brusselator_0001_0020,brusselator,17,16,7,candidate_polynomial,0.026810936629772186,0.2061872319318354,1
brusselator_0001_0020,brusselator,17,16,7,initial_remainder,0.01026145787909627,0.07395319500938058,1
brusselator_0001_0020,brusselator,17,16,7,refinement_fixed_polynomial,0.4546227538958192,0.4546227538958192,273
brusselator_0001_0020,brusselator,17,16,7,refinement_dynamic,0.0741671659052372,1.0560487788170576,8
brusselator_0001_0020,brusselator,17,16,7,boundary_endpoint,0.11638982547447085,1.0849771006032825,2
brusselator_0001_0020,brusselator,17,16,7,cross_step_history,0.9685872751288116,0.9685872751288116,2
brusselator_0001_0020,brusselator,17,16,7,python_tensor_dispatch_and_other,0.04064905131235719,0.04064905131235719,1
brusselator_0001_0020,brusselator,18,17,7,polynomial_multiply_truncate_range,0.27366843866184354,0.27366843866184354,166
brusselator_0001_0020,brusselator,18,17,7,candidate_polynomial,0.0268504424020648,0.20636162906885147,1
brusselator_0001_0020,brusselator,18,17,7,initial_remainder,0.010246881749480963,0.07385100098326802,1
brusselator_0001_0020,brusselator,18,17,7,refinement_fixed_polynomial,0.4452529847621918,0.4452529847621918,273
brusselator_0001_0020,brusselator,18,17,7,refinement_dynamic,0.0734385373070836,1.035874065477401,8
brusselator_0001_0020,brusselator,18,17,7,boundary_endpoint,0.11210266826674342,1.108532722108066,2
brusselator_0001_0020,brusselator,18,17,7,cross_step_history,0.9964300538413227,0.9964300538413227,2
brusselator_0001_0020,brusselator,18,17,7,python_tensor_dispatch_and_other,0.03812471590936184,0.03812471590936184,1
