analytic_reference_contained,basis,carry,directed_rounding_or_mpfr,endpoint_evaluation_path,excluded_from_authoritative,floating_point_enclosure_candidate,h,horizon,interval_kind,lower,message,native_validation_passed,order,polynomial_width,protocol,remainder_width,runtime_s,state_index,step_index,system,time,tool,upper,variant,width
True,complete_total_degree_2,native_Flowpipe_tmvPre_tmv_composition,True,,,False,0.01,1.0,endpoint_raw,-0.0022970339298301764,,True,2,0.10895331431962521,native_low_order,0.0025232759937314784,0.000119,0,84,riccati,0.8400000000000005,flowstar,0.10917955638352651,root_cause_fixed_order_2,0.11147659031335669
True,complete_total_degree_2,native_Flowpipe_tmvPre_tmv_composition,True,,,False,0.01,1.0,endpoint_raw,-0.002326818950062576,,True,2,0.10906704429151912,native_low_order,0.002558779550294525,0.000104,0,85,riccati,0.8500000000000005,flowstar,0.10929900489175108,root_cause_fixed_order_2,0.11162582384181366
True,complete_total_degree_2,native_Flowpipe_tmvPre_tmv_composition,True,,,False,0.01,1.0,endpoint_raw,-0.0023566652688540805,,True,2,0.10918095243045262,native_low_order,0.002594428043762974,0.000104,0,86,riccati,0.8600000000000005,flowstar,0.10941871520536152,root_cause_fixed_order_2,0.1117753804742156
True,complete_total_degree_2,native_Flowpipe_tmvPre_tmv_composition,True,,,False,0.01,1.0,endpoint_raw,-0.0023865730306774596,,True,2,0.1092950391087705,native_low_order,0.002630222108273516,0.000104,0,87,riccati,0.8700000000000006,flowstar,0.10953868818636657,root_cause_fixed_order_2,0.11192526121704403
True,complete_total_degree_2,native_Flowpipe_tmvPre_tmv_composition,True,,,False,0.01,1.0,endpoint_raw,-0.002416542380413406,,True,2,0.10940930469979085,native_low_order,0.002666162381187034,0.000103,0,88,riccati,0.8800000000000006,flowstar,0.10965892470056449,root_cause_fixed_order_2,0.11207546708097789
True,complete_total_degree_2,native_Flowpipe_tmvPre_tmv_composition,True,,,False,0.01,1.0,endpoint_raw,-0.002446573463351844,,True,2,0.10952374957780792,native_low_order,0.002702249503107766,0.000104,0,89,riccati,0.8900000000000006,flowstar,0.10977942561756385,root_cause_fixed_order_2,0.1122259990809157
True,complete_total_degree_2,native_Flowpipe_tmvPre_tmv_composition,True,,,False,0.01,1.0,endpoint_raw,-0.0024766664251933044,,True,2,0.1096383741180953,native_low_order,0.002738484117902605,0.000104,0,90,riccati,0.9000000000000006,flowstar,0.10990019181080461,root_cause_fixed_order_2,0.11237685823599791
True,complete_total_degree_2,native_Flowpipe_tmvPre_tmv_composition,True,,,False,0.01,1.0,endpoint_raw,-0.0025068214120503346,,True,2,0.10975317869690898,native_low_order,0.0027748668727205295,0.000104,0,91,riccati,0.9100000000000006,flowstar,0.11002122415757919,root_cause_fixed_order_2,0.11252804556962952
True,complete_total_degree_2,native_Flowpipe_tmvPre_tmv_composition,True,,,False,0.01,1.0,endpoint_raw,-0.0025370385704488615,,True,2,0.10986816369149045,native_low_order,0.0028113984180121684,0.000104,0,92,riccati,0.9200000000000006,flowstar,0.11014252353905377,root_cause_fixed_order_2,0.11267956210950263
True,complete_total_degree_2,native_Flowpipe_tmvPre_tmv_composition,True,,,False,0.01,1.0,endpoint_raw,-0.0025673180473295798,,True,2,0.10998332948006974,native_low_order,0.002848079407549502,0.000104,0,93,riccati,0.9300000000000006,flowstar,0.11026409084028967,root_cause_fixed_order_2,0.11283140888761925
True,complete_total_degree_2,native_Flowpipe_tmvPre_tmv_composition,True,,,False,0.01,1.0,endpoint_raw,-0.002597659990049371,,True,2,0.11009867644186859,native_low_order,0.0028849104984456954,0.000103,0,94,riccati,0.9400000000000006,flowstar,0.11038592695026492,root_cause_fixed_order_2,0.1129835869403143
True,complete_total_degree_2,native_Flowpipe_tmvPre_tmv_composition,True,,,False,0.01,1.0,endpoint_raw,-0.0026280645463826837,,True,2,0.11021420495710357,native_low_order,0.00292189235117508,0.000104,0,95,riccati,0.9500000000000006,flowstar,0.11050803276189597,root_cause_fixed_order_2,0.11313609730827866
