analytic_reference_contained,basis,carried_basis,carried_max_degree,carry_contract,compile_time_s,directed_rounding_or_mpfr,exact_reference_contained,failure_category,first_call_time_s,floating_point_enclosure_candidate,h,horizon,interval_kind,local_construction_basis,local_construction_order,lower,max_degree,message,mode,monomial_families,native_validation_passed,number_of_discarded_candidates,number_of_retained_coefficients,number_of_steps,numerical_backend,polynomial_width,projection_method,protocol,python_orchestration_time_s,remainder_estimation,remainder_width,reset_method,runtime_s,sampled_trajectory_contained,state_index,steady_step_time_s,step_index,successful_horizon,system,term_count,time,tool,trajectory_sanity_passed,upper,validation_failed,validation_trace_count,validator,variant,width
True,,,,none_one_step,1.8408331479877234,True,,,,False,0.02,0.02,endpoint_raw,,,-0.10204082400000002,1,,,"{""affine_state"": 2}",True,,,,,0.20400000000000018,,one_step_common_input,,,8.164800000000004e-05,,2.0121382060460746,,1,,1,,harmonic,2,0.02,flowstar,,0.10204082400000002,,43,,flowstar_root_cause_patch,0.20408164800000003
,,,,none_one_step,1.8404313041828573,True,,,,False,0.02,0.02,tube,,,-0.10202013605448579,4,,,"{""affine_state"": 1, ""time_state"": 1, ""time_state_higher"": 2}",True,,,,,0.20404026666666694,,one_step_common_input,,,5.442304870400059e-09,,2.062365078832954,,0,,1,,harmonic,4,0.02,flowstar,,0.10202013605448579,,67,,flowstar_root_cause_patch,0.20404027210897158
,,,,none_one_step,1.8404313041828573,True,,,,False,0.02,0.02,tube,,,-0.10202013605448579,4,,,"{""affine_state"": 1, ""time_state"": 1, ""time_state_higher"": 2}",True,,,,,0.20404026666666694,,one_step_common_input,,,5.442304870400059e-09,,2.062365078832954,,1,,1,,harmonic,4,0.02,flowstar,,0.10202013605448579,,67,,flowstar_root_cause_patch,0.20404027210897158
True,,,,none_one_step,1.8404313041828573,True,,,,False,0.02,0.02,endpoint_raw,,,-0.10202013605448579,1,,,"{""affine_state"": 2}",True,,,,,0.20395973333333348,,one_step_common_input,,,8.053877563822507e-05,,2.062365078832954,,0,,1,,harmonic,2,0.02,flowstar,,0.10202013605448579,,67,,flowstar_root_cause_patch,0.20404027210897158
True,,,,none_one_step,1.8404313041828573,True,,,,False,0.02,0.02,endpoint_raw,,,-0.10202013605448579,1,,,"{""affine_state"": 2}",True,,,,,0.2039597333333335,,one_step_common_input,,,8.053877563822507e-05,,2.062365078832954,,1,,1,,harmonic,2,0.02,flowstar,,0.10202013605448579,,67,,flowstar_root_cause_patch,0.20404027210897158
,,,,none_one_step,1.8357700980268419,True,,,,False,0.05,0.05,tube,,,-0.10526325000000002,2,,,"{""affine_state"": 1, ""time_state"": 1}",True,,,,,0.21000000000000021,,one_step_common_input,,,0.0005265000000000003,,2.0072346748784184,,0,,1,,harmonic,2,0.05,flowstar,,0.10526325000000002,,43,,flowstar_root_cause_patch,0.21052650000000003
,,,,none_one_step,1.8357700980268419,True,,,,False,0.05,0.05,tube,,,-0.10526325000000002,2,,,"{""affine_state"": 1, ""time_state"": 1}",True,,,,,0.21000000000000021,,one_step_common_input,,,0.0005265000000000003,,2.0072346748784184,,1,,1,,harmonic,2,0.05,flowstar,,0.10526325000000002,,43,,flowstar_root_cause_patch,0.21052650000000003
True,,,,none_one_step,1.8357700980268419,True,,,,False,0.05,0.05,endpoint_raw,,,-0.10526325000000002,1,,,"{""affine_state"": 2}",True,,,,,0.21000000000000016,,one_step_common_input,,,0.0005265000000000003,,2.0072346748784184,,0,,1,,harmonic,2,0.05,flowstar,,0.10526325000000002,,43,,flowstar_root_cause_patch,0.21052650000000003
True,,,,none_one_step,1.8357700980268419,True,,,,False,0.05,0.05,endpoint_raw,,,-0.10526325000000002,1,,,"{""affine_state"": 2}",True,,,,,0.2100000000000002,,one_step_common_input,,,0.0005265000000000003,,2.0072346748784184,,1,,1,,harmonic,2,0.05,flowstar,,0.10526325000000002,,43,,flowstar_root_cause_patch,0.21052650000000003
,,,,none_one_step,1.7340533160604537,True,,,,False,0.05,0.05,tube,,,-0.10512719299807945,4,,,"{""affine_state"": 1, ""time_state"": 1, ""time_state_higher"": 2}",True,,,,,0.21025416666666694,,one_step_common_input,,,2.1932949218750104e-07,,1.905579905025661,,0,,1,,harmonic,4,0.05,flowstar,,0.10512719299807945,,67,,flowstar_root_cause_patch,0.2102543859961589
