analytic_reference_contained,compile_or_jit_time_s,completed_steps,device,dtype,evaluation_time,failure_category,first_step_time_s,h,message,native_validation_passed,peak_process_rss_kib,repetition,requested_horizon,requested_steps,reset_discarded_term_count,steady_full_configuration_time_s,steady_step_time_s,successful_horizon,system,tool,variant,width_at_evaluation_time
,0.0,100,cpu,float64,1.0,,0.21543341502547264,0.01,,True,396496,0,1.0,100,0,26.347964633256197,0.2659309837035835,1.0,van_der_pol,torch_tm_flowpipe,order2_affine_reset_selected,1.9405468677370796
,0.0,100,cpu,float64,1.0,,0.22613445669412613,0.01,,True,396496,1,1.0,100,0,26.359329281840473,0.2659518248401582,1.0,van_der_pol,torch_tm_flowpipe,order2_affine_reset_selected,1.9405468677370796
,0.0,100,cpu,float64,1.0,,0.21488733403384686,0.01,,True,396496,2,1.0,100,0,26.346549382898957,0.2659637131728232,1.0,van_der_pol,torch_tm_flowpipe,order2_affine_reset_selected,1.9405468677370796
,0.0,100,cpu,float64,1.0,,0.22493954608216882,0.01,,True,396496,3,1.0,100,0,26.35669755656272,0.26593399001285434,1.0,van_der_pol,torch_tm_flowpipe,order2_affine_reset_selected,1.9405468677370796
,0.0,100,cpu,float64,1.0,,0.21558979991823435,0.01,,True,396496,4,1.0,100,0,26.348578899167478,0.26594174513593316,1.0,van_der_pol,torch_tm_flowpipe,order2_affine_reset_selected,1.9405468677370796
,0.0,100,cpu,float64,1.0,,0.22578936163336039,0.01,,True,396496,5,1.0,100,0,26.354290273040533,0.2659332458861172,1.0,van_der_pol,torch_tm_flowpipe,order2_affine_reset_selected,1.9405468677370796
,0.0,100,cpu,float64,1.0,,0.2151684993878007,0.01,,True,396496,6,1.0,100,0,26.300871944986284,0.26588317193090916,1.0,van_der_pol,torch_tm_flowpipe,order2_affine_reset_selected,1.9405468677370796
,0.0,100,cpu,float64,1.0,,0.21538707613945007,0.01,,True,396496,7,1.0,100,0,26.29135054303333,0.2658215812407434,1.0,van_der_pol,torch_tm_flowpipe,order2_affine_reset_selected,1.9405468677370796
,0.0,100,cpu,float64,1.0,,0.21511205192655325,0.01,,True,396496,8,1.0,100,0,26.305253125727177,0.2658437550999224,1.0,van_der_pol,torch_tm_flowpipe,order2_affine_reset_selected,1.9405468677370796
,0.0,100,cpu,float64,1.0,,0.21502467198297381,0.01,,True,396496,9,1.0,100,0,26.323164843488485,0.26596328523010015,1.0,van_der_pol,torch_tm_flowpipe,order2_affine_reset_selected,1.9405468677370796
,0.0,100,cpu,float64,1.0,,1.0511091318912804,0.01,,True,396496,0,1.0,100,600,100.66332198306918,1.055146099999547,1.0,van_der_pol,torch_tm_flowpipe,order4_affine_reset_selected,0.911288076111195
,0.0,100,cpu,float64,1.0,,1.060143036302179,0.01,,True,396496,1,1.0,100,600,105.77689132932574,1.0567757058888674,1.0,van_der_pol,torch_tm_flowpipe,order4_affine_reset_selected,0.911288076111195
,0.0,100,cpu,float64,1.0,,1.061984553001821,0.01,,True,396496,2,1.0,100,600,85.06053991708905,0.6604935228824615,1.0,van_der_pol,torch_tm_flowpipe,order4_affine_reset_selected,0.911288076111195
,0.0,100,cpu,float64,1.0,,0.6521231969818473,0.01,,True,396496,3,1.0,100,600,98.26066966960207,1.0553520140238106,1.0,van_der_pol,torch_tm_flowpipe,order4_affine_reset_selected,0.911288076111195
,0.0,100,cpu,float64,1.0,,1.0536290830932558,0.01,,True,396496,4,1.0,100,600,105.85550213744864,1.0570119046606123,1.0,van_der_pol,torch_tm_flowpipe,order4_affine_reset_selected,0.911288076111195
,0.0,100,cpu,float64,1.0,,1.0624923780560493,0.01,,True,396496,5,1.0,100,600,81.42865728354082,0.6574155460111797,1.0,van_der_pol,torch_tm_flowpipe,order4_affine_reset_selected,0.911288076111195
,0.0,100,cpu,float64,1.0,,0.6493274848908186,0.01,,True,396496,6,1.0,100,600,80.32310825958848,0.658391750883311,1.0,van_der_pol,torch_tm_flowpipe,order4_affine_reset_selected,0.911288076111195
,0.0,100,cpu,float64,1.0,,1.050777856260538,0.01,,True,396496,7,1.0,100,600,105.74460631283,1.0571278408169746,1.0,van_der_pol,torch_tm_flowpipe,order4_affine_reset_selected,0.911288076111195
,0.0,100,cpu,float64,1.0,,1.0567459710873663,0.01,,True,396496,8,1.0,100,600,105.84962083632126,1.0582613172009587,1.0,van_der_pol,torch_tm_flowpipe,order4_affine_reset_selected,0.911288076111195
,0.0,100,cpu,float64,1.0,,1.0671823578886688,0.01,,True,396496,9,1.0,100,600,105.7343819765374,1.056572273839265,1.0,van_der_pol,torch_tm_flowpipe,order4_affine_reset_selected,0.911288076111195
