basis,carry_or_preconditioning,compile_or_jit_time_s,evaluation_time,excluded_from_authoritative,h,memory_kib,native_validation_passed,primary_numerical_eligible,requested_horizon,runtime_max_s,runtime_min_s,runtime_repetitions,runtime_statistic,steady_full_configuration_time_s,successful_horizon,system,tool,trajectory_sanity_passed,variant,width_at_evaluation_time,width_runtime_pareto
complete_total_degree_2,native_normalized_composition,1.7327246707864106,1.0000000000000007,False,0.01,unavailable,True,True,1.0,,,1,single_native_sweep,0.018349999096244574,1.0,riccati,flowstar,True,root_cause_fixed_order_2,0.11390367060918023,True
complete_total_degree_3,native_normalized_composition,1.7199279330670834,1.0000000000000007,False,0.01,unavailable,True,True,1.0,,,1,single_native_sweep,0.03925287211313844,1.0,riccati,flowstar,True,root_cause_fixed_order_3,0.11695191634101011,False
complete_total_degree_4,native_normalized_composition,1.7334132250398397,1.0000000000000007,False,0.01,unavailable,True,True,1.0,,,1,single_native_sweep,0.07060661586001515,1.0,riccati,flowstar,True,root_cause_fixed_order_4,0.11696258259713109,False
complete_total_degree_6,native_normalized_composition,1.8274034042842686,1.0000000000000007,False,0.01,unavailable,True,True,1.0,,,1,single_native_sweep,0.20735626108944416,1.0,riccati,flowstar,True,root_cause_fixed_order_6,0.11695906534823476,False
complete_total_degree_2,native_normalized_composition,1.7293962561525404,3.9999999999999587,False,0.01,unavailable,True,True,4.0,,,1,single_native_sweep,0.09094226500019431,4.0,harmonic,flowstar,True,root_cause_fixed_order_2,0.4263983814553858,True
complete_total_degree_3,native_normalized_composition,1.7107454291544855,3.9999999999999587,False,0.01,unavailable,True,True,4.0,,,1,single_native_sweep,0.12306998297572136,4.0,harmonic,flowstar,True,root_cause_fixed_order_3,0.2827471511578055,False
complete_total_degree_4,native_normalized_composition,1.7153124250471592,3.9999999999999587,False,0.01,unavailable,True,True,4.0,,,1,single_native_sweep,0.16012248815968633,4.0,harmonic,flowstar,True,root_cause_fixed_order_4,0.28209137296574344,False
complete_total_degree_6,native_normalized_composition,1.8296586209908128,3.9999999999999587,False,0.01,unavailable,True,True,4.0,,,1,single_native_sweep,0.24367694184184074,4.0,harmonic,flowstar,True,root_cause_fixed_order_6,0.2820892232454493,True
complete_total_degree_2,native_normalized_composition,1.7185649457387626,0.2500000000000001,False,0.005,unavailable,True,True,0.25,,,1,single_native_sweep,0.022881173994392157,0.25,coupled_quadratic,flowstar,True,root_cause_fixed_order_2,0.04299183206719949,True
complete_total_degree_3,native_normalized_composition,1.689413780812174,0.2500000000000001,False,0.005,unavailable,True,True,0.25,,,1,single_native_sweep,0.09450633777305484,0.25,coupled_quadratic,flowstar,True,root_cause_fixed_order_3,0.04296903585388806,True
