symbol,signature,kind,path_count,occurrences,classification
_rhs,_rhs(system),function,7,experiments/first_order_followup/run_torch_followup.py:55;experiments/first_order_followup/tests/test_torch_basis.py:27;experiments/first_order_three_way/run_diffreach.py:190;experiments/three_tool_deep_study/export_diffreach_segment.py:78;experiments/three_way_common_contract/run_diffreach.py:97;experiments/three_way_comparison_repair/run_diffreach_audit.py:88;experiments/three_way_comparison_repair/run_torch_audit.py:48,manual_review
_rk4_step,"_rk4_step(state,dt)",function,3,comparisons/flowstar/compare_against_torch_tm.py:184;experiments/flowstar_style_sample_containment.py:79;experiments/trajectory_visual_audit.py:275,manual_review
_row,_row(),function,6,experiments/batched_tm_gpu_microbench.py:218;experiments/first_order_followup/run_torch_followup.py:90;experiments/three_tool_deep_study/tests/test_report_protocols.py:26;experiments/three_way_comparison_repair/tests/test_harness_integrity.py:26;tests/test_flowstar_same_source_endpoint_tube_compare.py:28;tests/test_flowstar_step_trace_compare_alignment.py:18,manual_review
_row,_row(source),function,4,tests/test_flowstar_box_lifecycle_alignment_audit.py:17;tests/test_flowstar_internal_intermediate_ranges_audit.py:34;tests/test_flowstar_raw_ctrunc_residual_audit.py:28;tests/test_flowstar_raw_remainder_partition_audit.py:28,manual_review
_row_for,"_row_for(rows,source)",function,6,experiments/flowstar_acceptance_predicate_audit.py:205;experiments/flowstar_internal_intermediate_ranges_audit.py:256;experiments/flowstar_picard_residual_source_audit.py:316;experiments/flowstar_raw_ctrunc_residual_audit.py:235;experiments/flowstar_raw_remainder_partition_audit.py:238;experiments/flowstar_validation_candidate_decomposition_audit.py:396,manual_review
_rows,_rows(path),function,4,experiments/first_order_followup/generate_artifacts.py:27;tests/test_batched_tm_gpu_microbench.py:26;tests/test_flowstar_benchmark_diagnostics.py:25;tests/test_flowstar_vdp_width_trajectory_audit.py:17,manual_review
_run,"_run(command,cwd)",function,2,experiments/first_order_followup/audit_environment.py:31;experiments/three_tool_deep_study/collect_results.py:35,manual_review
_safe_ratio,"_safe_ratio(num,den)",function,2,experiments/flowstar_style_failure_localization.py:188;experiments/flowstar_style_rescue_vanderpol.py:2017,manual_review
_safe_segment_bounds,_safe_segment_bounds(box),function,2,experiments/flowstar_benchmark_stage2_diagnostics.py:255;experiments/flowstar_benchmark_symbolic_remainder_diagnostics.py:158,manual_review
_same_text,"_same_text(a,b)",function,2,experiments/flowstar_raw_ctrunc_residual_audit.py:264;experiments/flowstar_raw_remainder_partition_audit.py:267,manual_review
_save,"_save(fig,base)",function,2,experiments/first_order_three_way/plot_results.py:53;experiments/three_way_comparison_repair/plot_results.py:22,manual_review
_save,"_save(fig,path)",function,2,experiments/first_order_followup/generate_artifacts.py:59;experiments/three_way_common_contract/plot_results.py:43,manual_review
_segment_bounds,_segment_bounds(box),function,2,experiments/flowstar_benchmark_failure_diagnostics.py:210;experiments/flowstar_style_rescue_vanderpol.py:686,manual_review
_segment_row_from_step,_segment_row_from_step(),function,2,experiments/flowstar_benchmark_stage2_diagnostics.py:410;experiments/flowstar_benchmark_symbolic_remainder_diagnostics.py:308,manual_review
_semantic_mismatch,"_semantic_mismatch(row,flow)",function,2,experiments/flowstar_raw_ctrunc_residual_audit.py:272;experiments/flowstar_raw_remainder_partition_audit.py:285,manual_review
_sha256,_sha256(path),function,5,experiments/flowstar_benchmark_parity.py:185;experiments/three_tool_deep_study/curate_artifacts.py:17;experiments/three_tool_deep_study/flowstar_adaptive_trajectory_audit.py:235;experiments/three_tool_deep_study/generate_final_delivery.py:26;experiments/three_way_comparison_repair/run_corrected_comparison.py:129,manual_review
