run_id,segment_index,t_hi,dimension,rank,monomial,interval_contribution_width,coefficient,total_degree,time_power,source_note
flowstar_style_o6_candidate8_output6_insert,19,1.7000000000000004,x,1,aggregate_right_map_x,0.059095626276965796,,6,0,"aggregate persisted diagnostic, not exact sparse monomial"
flowstar_style_o6_candidate8_output6_insert,19,1.7000000000000004,y,2,aggregate_right_map_y,0.042294756568521961,,6,0,"aggregate persisted diagnostic, not exact sparse monomial"
flowstar_style_o6_candidate8_output6_insert,19,1.7000000000000004,x,3,scale_x,0.034600466157565568,,1,0,"aggregate persisted diagnostic, not exact sparse monomial"
flowstar_style_o6_candidate8_output6_insert,19,1.7000000000000004,y,4,scale_y,0.024763563490011371,,1,0,"aggregate persisted diagnostic, not exact sparse monomial"
flowstar_style_o6_candidate8_output6_insert,20,1.8000000000000005,x,1,aggregate_right_map_x,0.060401779666422045,,6,0,"aggregate persisted diagnostic, not exact sparse monomial"
flowstar_style_o6_candidate8_output6_insert,20,1.8000000000000005,y,2,aggregate_right_map_y,0.043782071831010821,,6,0,"aggregate persisted diagnostic, not exact sparse monomial"
flowstar_style_o6_candidate8_output6_insert,20,1.8000000000000005,x,3,scale_x,0.035658796710835106,,1,0,"aggregate persisted diagnostic, not exact sparse monomial"
flowstar_style_o6_candidate8_output6_insert,20,1.8000000000000005,y,4,scale_y,0.025847185424390726,,1,0,"aggregate persisted diagnostic, not exact sparse monomial"
flowstar_style_o6_candidate8_output6_insert,21,1.9000000000000006,x,1,aggregate_right_map_x,0.062444662595021232,,6,0,"aggregate persisted diagnostic, not exact sparse monomial"
flowstar_style_o6_candidate8_output6_insert,21,1.9000000000000006,y,2,aggregate_right_map_y,0.046779098812974734,,6,0,"aggregate persisted diagnostic, not exact sparse monomial"
flowstar_style_o6_candidate8_output6_insert,21,1.9000000000000006,x,3,scale_x,0.037115774895486044,,1,0,"aggregate persisted diagnostic, not exact sparse monomial"
flowstar_style_o6_candidate8_output6_insert,21,1.9000000000000006,y,4,scale_y,0.02780449808202674,,1,0,"aggregate persisted diagnostic, not exact sparse monomial"
flowstar_style_o6_candidate8_output6_insert,22,2.0000000000000004,x,1,aggregate_right_map_x,0.065260386286582373,,6,0,"aggregate persisted diagnostic, not exact sparse monomial"
flowstar_style_o6_candidate8_output6_insert,22,2.0000000000000004,y,2,aggregate_right_map_y,0.051300364291482561,,6,0,"aggregate persisted diagnostic, not exact sparse monomial"
