file,line,function,primitive_calls,total_calls,self_seconds,inclusive_seconds
/srv/local/shengenli/repaired_solver_performance_20260908T084224Z/candidate_source/src/torch_tm_flowpipe/batched_dense_tm.py,2686,<dictcomp>,1420,1420,0.016963620000000002,0.016963620000000002
~,0,<built-in method torch.ones>,3000,3000,0.01637765,0.01637765
/srv/local/shengenli/miniforge3/envs/py11/lib/python3.11/site-packages/yaml/error.py,6,__init__,55600,55600,0.016186298000000002,0.016186298000000002
/srv/local/shengenli/repaired_solver_performance_20260908T084224Z/candidate_source/src/torch_tm_flowpipe/batched_dense_tm.py,458,_interval_scale,1060,1060,0.015155155000000002,0.042317525
/srv/local/shengenli/miniforge3/envs/py11/lib/python3.11/site-packages/yaml/scanner.py,1416,scan_line_break,26700,26700,0.014594602000000002,0.027803709000000003
~,0,<built-in method torch.nonzero>,1920,1920,0.014273442,0.014273442
/srv/local/shengenli/repaired_solver_performance_20260908T084224Z/candidate_source/src/torch_tm_flowpipe/interval.py,107,width,3868,3868,0.014029860000000002,0.037867663
/srv/local/shengenli/repaired_solver_performance_20260908T084224Z/candidate_source/src/torch_tm_flowpipe/batched_dense_tm.py,1161,<setcomp>,1800,1800,0.013706806,0.051929848
/srv/local/shengenli/repaired_solver_performance_20260908T084224Z/candidate_source/src/torch_tm_flowpipe/batched_dense_tm.py,2251,component,1420,1420,0.013433536000000001,0.019379487
/srv/local/shengenli/repaired_solver_performance_20260908T084224Z/candidate_source/src/torch_tm_flowpipe/batched_dense_tm.py,3071,_joint_factorized_vdp_residual_closure,100,100,0.013302639000000002,1.370425491
/srv/local/shengenli/miniforge3/envs/py11/lib/python3.11/site-packages/yaml/composer.py,117,compose_mapping_node,40,1580,0.012801509,1.212795354
/srv/local/shengenli/repaired_solver_performance_20260908T084224Z/candidate_source/src/torch_tm_flowpipe/accepted_boundary_sr.py,103,_interval_polynomial_range,116,116,0.012651682000000001,0.448148188
/srv/local/shengenli/repaired_solver_performance_20260908T084224Z/candidate_source/src/torch_tm_flowpipe/polynomial.py,19,_state_normal_factor,3624,3624,0.012288989,0.171211258
~,0,<method 'get' of 'dict' objects>,76149,76149,0.012075935000000001,0.012075935000000001
/srv/local/shengenli/miniforge3/envs/py11/lib/python3.11/site-packages/yaml/scanner.py,668,fetch_plain,10400,10400,0.011936828,0.35316793300000004
/srv/local/shengenli/repaired_solver_performance_20260908T084224Z/candidate_source/src/torch_tm_flowpipe/interval.py,141,__sub__,1624,1624,0.011732738000000001,0.09126236800000001
/srv/local/shengenli/repaired_solver_performance_20260908T084224Z/candidate_source/src/torch_tm_flowpipe/symbolic_remainder.py,804,<listcomp>,1900,1900,0.011597119000000001,0.025532633000000002
/srv/local/shengenli/repaired_solver_performance_20260908T084224Z/candidate_source/src/torch_tm_flowpipe/batched_dense_tm.py,2942,_prepare_joint_factorized_vdp_coefficient_cache,40,40,0.011394073000000001,0.9843982790000001
/srv/local/shengenli/repaired_solver_performance_20260908T084224Z/candidate_source/src/torch_tm_flowpipe/batched_dense_tm.py,2486,mul_trunc,320,320,0.011294459000000001,2.3701727160000003
/srv/local/shengenli/repaired_solver_performance_20260908T084224Z/candidate_source/src/torch_tm_flowpipe/batched_dense_tm.py,3739,_dense_flowstar_raw_compat_image,100,100,0.011003077,2.5882889490000003
~,0,<method 'abs' of 'torch._C.TensorBase' objects>,1360,1360,0.01093969,0.01093969
/srv/local/shengenli/repaired_solver_performance_20260908T084224Z/candidate_source/src/torch_tm_flowpipe/batched_dense_tm.py,2014,mul_trunc,360,360,0.010921746000000001,1.5462401520000002
/srv/local/shengenli/repaired_solver_performance_20260908T084224Z/candidate_source/src/torch_tm_flowpipe/polynomial.py,151,<genexpr>,50965,50965,0.010481984000000001,0.010481984000000001
/srv/local/shengenli/miniforge3/envs/py11/lib/python3.11/json/encoder.py,205,iterencode,40,40,0.010380819000000001,0.010380819000000001
/srv/local/shengenli/repaired_solver_performance_20260908T084224Z/candidate_source/src/torch_tm_flowpipe/polynomial.py,159,<dictcomp>,2534,2534,0.010379748000000001,0.146406696
~,0,<built-in method torch.arange>,1440,1440,0.010357998,0.010357998
~,0,<built-in method builtins.sorted>,10249,10249,0.010235697,0.03178078
/srv/local/shengenli/repaired_solver_performance_20260908T084224Z/candidate_source/src/torch_tm_flowpipe/interval.py,95,device,32390,32390,0.009836802,0.009836802
~,0,<built-in method torch.count_nonzero>,2880,2880,0.009770795,0.009770795
~,0,<method 'movedim' of 'torch._C.TensorBase' objects>,2560,2560,0.00964159,0.00964159
~,0,<built-in method torch._C._get_tracing_state>,14480,14480,0.009405952,0.009405952
/srv/local/shengenli/repaired_solver_performance_20260908T084224Z/candidate_source/src/torch_tm_flowpipe/interval.py,76,zero,4418,4418,0.009171882000000001,0.202665577
/srv/local/shengenli/repaired_solver_performance_20260908T084224Z/candidate_source/src/torch_tm_flowpipe/batched_dense_tm.py,2707,<dictcomp>,360,360,0.008918061,0.061309475
/srv/local/shengenli/miniforge3/envs/py11/lib/python3.11/site-packages/yaml/parser.py,427,parse_block_mapping_key,4500,4500,0.008824156000000001,0.265189414
/srv/local/shengenli/miniforge3/envs/py11/lib/python3.11/site-packages/yaml/parser.py,476,parse_flow_sequence_entry,3980,3980,0.008557026,0.23345014500000003
/srv/local/shengenli/repaired_solver_performance_20260908T084224Z/candidate_source/src/torch_tm_flowpipe/batched_dense_tm.py,1162,<genexpr>,20160,20160,0.008510221,0.019597345000000002
~,0,<method 'extend' of 'list' objects>,39990,39990,0.008454255,0.012874380000000001
~,0,<built-in method builtins.pow>,18780,18780,0.008152483,0.008152483
/srv/local/shengenli/miniforge3/envs/py11/lib/python3.11/site-packages/yaml/composer.py,99,compose_sequence_node,900,1580,0.008076928,0.49934672700000005
/srv/local/shengenli/repaired_solver_performance_20260908T084224Z/candidate_source/src/torch_tm_flowpipe/flowpipe.py,488,_interval_width_value,3548,3548,0.008025518,0.12290215900000001
/srv/local/shengenli/repaired_solver_performance_20260908T084224Z/candidate_source/src/torch_tm_flowpipe/batched_dense_tm.py,1173,<listcomp>,5400,5400,0.008004068000000001,0.008004068000000001
~,0,<method 'scatter_add_' of 'torch._C.TensorBase' objects>,1080,1080,0.007846499,0.007846499
/srv/local/shengenli/miniforge3/envs/py11/lib/python3.11/site-packages/yaml/scanner.py,125,peek_token,16900,16900,0.007825053,0.026056409000000003
~,0,<method 'unsqueeze' of 'torch._C.TensorBase' objects>,3400,3400,0.007749288000000001,0.007749288000000001
/srv/local/shengenli/repaired_solver_performance_20260908T084224Z/candidate_source/src/torch_tm_flowpipe/symbolic_remainder.py,551,<listcomp>,289,289,0.007608438,0.037829834
/srv/local/shengenli/repaired_solver_performance_20260908T084224Z/candidate_source/src/torch_tm_flowpipe/flowpipe.py,1523,horner,40,265,0.007561341,5.625449051
/srv/local/shengenli/repaired_solver_performance_20260908T084224Z/candidate_source/src/torch_tm_flowpipe/batched_dense_tm.py,3323,<dictcomp>,40,40,0.007559074000000001,0.009383988000000001
