window,plant,execution_mode,instrumentation,step,history_before,replay_calls,solve_seconds,prepared_plan_count,prepared_operation_count,prepared_operation_hits,prepared_plan_setup_s
brusselator_0101_0120,brusselator,reference,production_diagnostic,117,116,9,1.8368566259741783,0,0,0,0.0
brusselator_0101_0120,brusselator,reference,production_diagnostic,118,117,9,1.8117258208803833,0,0,0,0.0
brusselator_0101_0120,brusselator,reference,production_diagnostic,119,118,9,1.8109643030911684,0,0,0,0.0
brusselator_0101_0120,brusselator,reference,production_diagnostic,120,119,9,1.8159596747718751,0,0,0,0.0
brusselator_0101_0120,brusselator,reference,scoped,101,100,9,1.946061255875975,0,0,0,0.0
brusselator_0101_0120,brusselator,reference,scoped,102,101,9,1.8731849691830575,0,0,0,0.0
brusselator_0101_0120,brusselator,reference,scoped,103,102,9,1.8830253728665411,0,0,0,0.0
brusselator_0101_0120,brusselator,reference,scoped,104,103,9,1.8802797948010266,0,0,0,0.0
brusselator_0101_0120,brusselator,reference,scoped,105,104,9,1.8756241127848625,0,0,0,0.0
brusselator_0101_0120,brusselator,reference,scoped,106,105,9,1.8744068844243884,0,0,0,0.0
brusselator_0101_0120,brusselator,reference,scoped,107,106,9,1.8743453030474484,0,0,0,0.0
brusselator_0101_0120,brusselator,reference,scoped,108,107,9,1.8689671121537685,0,0,0,0.0
brusselator_0101_0120,brusselator,reference,scoped,109,108,9,1.8679452729411423,0,0,0,0.0
brusselator_0101_0120,brusselator,reference,scoped,110,109,9,1.873567153699696,0,0,0,0.0
brusselator_0101_0120,brusselator,reference,scoped,111,110,9,1.8676321008242667,0,0,0,0.0
brusselator_0101_0120,brusselator,reference,scoped,112,111,9,1.9247300713323057,0,0,0,0.0
brusselator_0101_0120,brusselator,reference,scoped,113,112,9,1.8883479237556458,0,0,0,0.0
brusselator_0101_0120,brusselator,reference,scoped,114,113,9,1.8798631271347404,0,0,0,0.0
brusselator_0101_0120,brusselator,reference,scoped,115,114,9,1.8773057931102812,0,0,0,0.0
brusselator_0101_0120,brusselator,reference,scoped,116,115,9,1.8655740260146558,0,0,0,0.0
brusselator_0101_0120,brusselator,reference,scoped,117,116,9,1.8625362659804523,0,0,0,0.0
brusselator_0101_0120,brusselator,reference,scoped,118,117,9,1.8630546079948545,0,0,0,0.0
brusselator_0101_0120,brusselator,reference,scoped,119,118,9,1.8593454039655626,0,0,0,0.0
brusselator_0101_0120,brusselator,reference,scoped,120,119,9,1.8587494143284857,0,0,0,0.0
brusselator_0101_0120,brusselator,reference,cprofile,101,100,9,2.254935826174915,0,0,0,0.0
brusselator_0101_0120,brusselator,reference,cprofile,102,101,9,2.283611685037613,0,0,0,0.0
brusselator_0101_0120,brusselator,reference,cprofile,103,102,9,2.262129530776292,0,0,0,0.0
brusselator_0101_0120,brusselator,reference,cprofile,104,103,9,2.2671953230164945,0,0,0,0.0
brusselator_0101_0120,brusselator,reference,cprofile,105,104,9,2.2676974521018565,0,0,0,0.0
brusselator_0101_0120,brusselator,reference,cprofile,106,105,9,2.245856034103781,0,0,0,0.0
brusselator_0101_0120,brusselator,reference,cprofile,107,106,9,2.250144825782627,0,0,0,0.0
brusselator_0101_0120,brusselator,reference,cprofile,108,107,9,2.251829194370657,0,0,0,0.0
brusselator_0101_0120,brusselator,reference,cprofile,109,108,9,2.2493550409562886,0,0,0,0.0
