backend_lane,h_attempted,segment_index,t_before,total_wall_s
hybrid_dense_core,0.01,303,3.0300000000000002,0.3999480230049812
hybrid_dense_core,0.01,304,3.04,0.39700680800160626
hybrid_dense_core,0.01,305,3.0500000000000003,0.3877960579993669
hybrid_dense_core,0.01,306,3.06,0.3872117850041832
hybrid_dense_core,0.01,307,3.0700000000000003,0.396597255996312
hybrid_dense_core,0.01,308,3.08,0.38761169200006407
hybrid_dense_core,0.01,309,3.09,0.39990107999619795
hybrid_dense_core,0.01,310,3.1,0.3883360990002984
hybrid_dense_core,0.01,311,3.11,0.3946751109979232
hybrid_dense_core,0.01,312,3.12,0.39712220499495743
hybrid_dense_core,0.01,313,3.13,0.3880418179978733
hybrid_dense_core,0.01,314,3.14,0.4021593479992589
hybrid_dense_core,0.01,315,3.15,0.5813783780031372
hybrid_dense_core,0.01,316,3.16,0.3997335189997102
hybrid_dense_core,0.01,317,3.17,0.3959945329988841
hybrid_dense_core,0.01,318,3.18,0.38937998699839227
hybrid_dense_core,0.01,319,3.19,0.3974540810013423
hybrid_dense_core,0.01,320,3.2,0.38853488599852426
hybrid_dense_core,0.01,321,3.21,0.38889801900222665
hybrid_dense_core,0.01,322,3.22,0.3956883880018722
hybrid_dense_core,0.01,323,3.23,0.39709084700007224
hybrid_dense_core,0.01,324,3.24,0.3999950540019199
hybrid_dense_core,0.01,325,3.25,0.3890861149993725
hybrid_dense_core,0.01,326,3.2600000000000002,0.3985034130018903
hybrid_dense_core,0.01,327,3.27,0.4262698509992333
hybrid_dense_core,0.01,328,3.2800000000000002,0.39727430200582603
hybrid_dense_core,0.01,329,3.29,0.4081317720047082
hybrid_dense_core,0.01,330,3.3000000000000003,0.3880529919988476
hybrid_dense_core,0.01,331,3.31,0.38797521000378765
hybrid_dense_core,0.01,332,3.3200000000000003,0.3946360629997798
hybrid_dense_core,0.01,333,3.33,0.38891730600153096
hybrid_dense_core,0.01,334,3.34,0.3982583569959388
hybrid_dense_core,0.01,335,3.35,0.3974383959939587
hybrid_dense_core,0.01,336,3.36,0.39593659400270553
hybrid_dense_core,0.01,337,3.37,0.39443362400197657
hybrid_dense_core,0.01,338,3.38,0.3873240309985704
hybrid_dense_core,0.01,339,3.39,0.3941986520003411
hybrid_dense_core,0.01,340,3.4,0.3878958099958254
hybrid_dense_core,0.01,341,3.41,0.3885072390039568
hybrid_dense_core,0.01,342,3.42,0.3869816470032674
hybrid_dense_core,0.01,343,3.43,0.38796660299703944
hybrid_dense_core,0.01,344,3.44,0.39643823100050213
hybrid_dense_core,0.01,345,3.45,0.3994071719935164
hybrid_dense_core,0.01,346,3.46,0.38933089499914786
hybrid_dense_core,0.01,347,3.47,0.38795185899653006
hybrid_dense_core,0.01,348,3.48,0.3949865020040306
hybrid_dense_core,0.01,349,3.49,0.38794198200048413
hybrid_dense_core,0.01,350,3.5,0.4253253479982959
hybrid_dense_core,0.01,351,3.5100000000000002,0.4070444349999889
hybrid_dense_core,0.01,352,3.52,0.4025772950044484
hybrid_dense_core,0.01,353,3.5300000000000002,0.39548466300038854
hybrid_dense_core,0.01,354,3.54,0.40434100400307216
hybrid_dense_core,0.01,355,3.5500000000000003,0.4059068410060718
hybrid_dense_core,0.01,356,3.56,0.40160974400350824
hybrid_dense_core,0.01,357,3.5700000000000003,0.3946552939960384
hybrid_dense_core,0.01,358,3.58,0.40599170299537946
hybrid_dense_core,0.01,359,3.59,0.39561410900205374
hybrid_dense_core,0.01,360,3.6,0.39681437599938363
hybrid_dense_core,0.01,361,3.61,0.40271657400444383
hybrid_dense_core,0.01,362,3.62,0.40477066399762407
hybrid_dense_core,0.01,363,3.63,0.4077320950018475
hybrid_dense_core,0.01,364,3.64,0.4052492370028631
hybrid_dense_core,0.01,365,3.65,0.404262132004078
hybrid_dense_core,0.01,366,3.66,0.39683875699847704
hybrid_dense_core,0.01,367,3.67,0.39845685900218086
hybrid_dense_core,0.01,368,3.68,0.39634983600262785
hybrid_dense_core,0.01,369,3.69,0.3984554350026883
hybrid_dense_core,0.01,370,3.7,0.40239215399924433
hybrid_dense_core,0.01,371,3.71,0.4047803939974983
hybrid_dense_core,0.01,372,3.72,0.40553907999856165
hybrid_dense_core,0.01,373,3.73,0.39889233699796023
hybrid_dense_core,0.01,374,3.74,0.4088793389964849
hybrid_dense_core,0.01,375,3.75,0.4033220679993974
hybrid_dense_core,0.01,376,3.7600000000000002,0.40863640399766155
hybrid_dense_core,0.01,377,3.77,0.4214000389983994
hybrid_dense_core,0.01,378,3.7800000000000002,0.3991156280026189
hybrid_dense_core,0.01,379,3.79,0.4066281369960052
hybrid_dense_core,0.01,380,3.8000000000000003,0.40396564999537077
hybrid_dense_core,0.01,381,3.81,0.3968387179993442
hybrid_dense_core,0.01,382,3.8200000000000003,0.406578061003529
hybrid_dense_core,0.01,383,3.83,0.4051091939982143
hybrid_dense_core,0.01,384,3.84,0.3947892639989732
hybrid_dense_core,0.01,385,3.85,0.4234134330035886
hybrid_dense_core,0.01,386,3.86,0.42122086900053546
hybrid_dense_core,0.01,387,3.87,0.4227430579994689
hybrid_dense_core,0.01,388,3.88,0.4172581099992385
hybrid_dense_core,0.01,389,3.89,0.39645547499821987
hybrid_dense_core,0.01,390,3.9,0.39580094299890334
hybrid_dense_core,0.01,391,3.91,0.39634126400051173
hybrid_dense_core,0.01,392,3.92,0.40330295000603655
hybrid_dense_core,0.01,393,3.93,0.3945454620043165
