analytic_containment_applicability,analytic_containment_passed,analytic_reference_contained,cold_total_configuration_time_s,compile_or_jit_time_s,completed_requested_horizon,completed_steps,device,dtype,engine_internal_time_s,evaluation_time,failure_category,first_step_time_s,h,measurement_phase,memory_measurement,memory_measurement_reason,memory_unavailable_reason,message,native_validation_passed,observation_source,peak_process_rss_kib,plot_report_time_s,posthoc_validation_time_s,repetition,requested_horizon,requested_steps,reset_discarded_term_count,runtime_boundary_version,steady_full_configuration_time_s,steady_step_time_s,steady_total_configuration_time_s,successful_horizon,system,tool,trajectory_sanity_passed,variant,width_at_evaluation_time
required,True,True,0.0,0.0,True,400,cpu,float64,27.599271968589164,4.0,completed,0.0642895830096677,0.01,steady,unavailable,,configuration did not run in an isolated measurement subprocess,,True,torch,unavailable,0.0,1.2917036656290293e-05,8,4.0,400,0,total_configuration_v2,28.427904495678376,0.06812454201281071,28.427904495678376,4.0,harmonic,torch_tm_flowpipe,True,order4_affine_reset_selected,10.494236021719196
required,True,True,0.0,0.0,True,400,cpu,float64,28.848558720725123,4.0,completed,0.06617308303248137,0.01,steady,unavailable,,configuration did not run in an isolated measurement subprocess,,True,torch,unavailable,0.0,8.98329890333116e-05,9,4.0,400,0,total_configuration_v2,29.709774379211012,0.0658090419601649,29.709774379211012,4.0,harmonic,torch_tm_flowpipe,True,order4_affine_reset_selected,10.494236021719196
required,True,True,0.0,0.0,True,400,cpu,float64,25.65962884016335,4.0,completed,0.06446370802586898,0.01,steady,unavailable,,configuration did not run in an isolated measurement subprocess,,True,torch,unavailable,0.0,1.0999967344105244e-05,10,4.0,400,0,total_configuration_v2,26.425206130952574,0.06484520802041516,26.425206130952574,4.0,harmonic,torch_tm_flowpipe,True,order4_affine_reset_selected,10.494236021719196
not_applicable,False,,6.897428794181906,0.0,True,50,cpu,float64,6.784745292214211,0.25,completed,0.13802062498871237,0.005,cold,unavailable,,configuration did not run in an isolated measurement subprocess,,True,torch,unavailable,0.0,3.0420487746596336e-06,0,0.25,50,0,total_configuration_v2,6.897428794181906,0.13787837501149625,6.897428794181906,0.25,coupled_quadratic,torch_tm_flowpipe,True,order2_affine_reset_selected,0.043027088479031264
not_applicable,False,,0.0,0.0,True,50,cpu,float64,7.022967333905399,0.25,completed,0.13677795900730416,0.005,steady,unavailable,,configuration did not run in an isolated measurement subprocess,,True,torch,unavailable,0.0,2.1249870769679546e-06,1,0.25,50,0,total_configuration_v2,7.137695789162535,0.13745187496533617,7.137695789162535,0.25,coupled_quadratic,torch_tm_flowpipe,True,order2_affine_reset_selected,0.043027088479031264
not_applicable,False,,0.0,0.0,True,50,cpu,float64,6.773443083919119,0.25,completed,0.1374785000225529,0.005,steady,unavailable,,configuration did not run in an isolated measurement subprocess,,True,torch,unavailable,0.0,2.874992787837982e-06,2,0.25,50,0,total_configuration_v2,6.886919257289264,0.1376304590376094,6.886919257289264,0.25,coupled_quadratic,torch_tm_flowpipe,True,order2_affine_reset_selected,0.043027088479031264
not_applicable,False,,0.0,0.0,True,50,cpu,float64,6.769320082734339,0.25,completed,0.137200083991047,0.005,steady,unavailable,,configuration did not run in an isolated measurement subprocess,,True,torch,unavailable,0.0,2.1249870769679546e-06,3,0.25,50,0,total_configuration_v2,6.8813087929738685,0.13754399999743327,6.8813087929738685,0.25,coupled_quadratic,torch_tm_flowpipe,True,order2_affine_reset_selected,0.043027088479031264
not_applicable,False,,0.0,0.0,True,50,cpu,float64,6.768225249077659,0.25,completed,0.1380537090008147,0.005,steady,unavailable,,configuration did not run in an isolated measurement subprocess,,True,torch,unavailable,0.0,2.6249908842146397e-06,4,0.25,50,0,total_configuration_v2,6.8807105019222945,0.13757466699462384,6.8807105019222945,0.25,coupled_quadratic,torch_tm_flowpipe,True,order2_affine_reset_selected,0.043027088479031264
not_applicable,False,,0.0,0.0,True,50,cpu,float64,6.728257748822216,0.25,completed,0.13903587497770786,0.005,steady,unavailable,,configuration did not run in an isolated measurement subprocess,,True,torch,unavailable,0.0,2.6249908842146397e-06,5,0.25,50,0,total_configuration_v2,6.840282708813902,0.13629866600967944,6.840282708813902,0.25,coupled_quadratic,torch_tm_flowpipe,True,order2_affine_reset_selected,0.043027088479031264
not_applicable,False,,0.0,0.0,True,50,cpu,float64,7.18637232814217,0.25,completed,0.1370030419784598,0.005,steady,unavailable,,configuration did not run in an isolated measurement subprocess,,True,torch,unavailable,0.0,3.0420487746596336e-06,6,0.25,50,0,total_configuration_v2,7.307114208757412,0.13889887498226017,7.307114208757412,0.25,coupled_quadratic,torch_tm_flowpipe,True,order2_affine_reset_selected,0.043027088479031264
