boundary,coefficient_hash,control,control_status,failure_boundary,physical_hull,status
14,,C3,domain_gate_failure,11,,not_reached_after_stop
16,,C3,domain_gate_failure,11,,not_reached_after_stop
17,,C3,domain_gate_failure,11,,not_reached_after_stop
70,,C3,domain_gate_failure,11,,not_reached_after_stop
100,,C3,domain_gate_failure,11,,not_reached_after_stop
150,,C3,domain_gate_failure,11,,not_reached_after_stop
163,,C3,domain_gate_failure,11,,not_reached_after_stop
164,,C3,domain_gate_failure,11,,not_reached_after_stop
1,bd76ac655f5f53f6826617bad2a723f8da8a47b26bca37e505bc8340d4e3d07c,C4,completed_boundary_164_full_h,,"{""hi"":[[1.4303351402636648,2.4293180943742962]],""hi_hex"":[[""0x1.6e2a7199c083fp+0"",""0x1.36f3e53375962p+1""]],""lo"":[[1.1292444674417055,2.3026725680895725]],""lo_hex"":[[""0x1.21162a58d9df3p+0"",""0x1.26bdf986aba77p+1""]],""width"":[[0.30109067282195934,0.1266455262847237]]}",recorded
5,31919c5172073f3941f822149bae098b3bb2c5e55509336d975e6d76e32882bb,C4,completed_boundary_164_full_h,,"{""hi"":[[1.5752357212539894,2.2860314805015562]],""hi_hex"":[[""0x1.9342a5f246e01p+0"",""0x1.249cadf730b90p+1""]],""lo"":[[1.2736438258022338,2.031153807193233]],""lo_hex"":[[""0x1.460d859292aa9p+0"",""0x1.03fcd9138539cp+1""]],""width"":[[0.3015918954517556,0.25487767330832334]]}",recorded
7,2fddf5704d8f8bfce503e91bec7e36e856c846e6dd23defef8b13a0c3940ca1f,C4,completed_boundary_164_full_h,,"{""hi"":[[1.6393662801987667,2.1941542476189446]],""hi_hex"":[[""0x1.a3ad822f9e6eap+0"",""0x1.18da0bdff390bp+1""]],""lo"":[[1.3405574059718155,1.8846505005243623]],""lo_hex"":[[""0x1.572ec5290f3e3p+0"",""0x1.e278748824651p+0""]],""width"":[[0.29880887422695124,0.3095037470945823]]}",recorded
8,5c4e3e5e8a7524d5a975833f49be7a7600e183a745435d2a64d473a88850391f,C4,completed_boundary_164_full_h,,"{""hi"":[[1.6631076719157767,2.154734779991579]],""hi_hex"":[[""0x1.a9c16ca49ade9p+0"",""0x1.13ce5969cf0d1p+1""]],""lo"":[[1.3658982257599115,1.8258740607384292]],""lo_hex"":[[""0x1.5dab81914da17p+0"",""0x1.d36c7b817c7c4p+0""]],""width"":[[0.2972094461558652,0.32886071925314964]]}",recorded
10,b3c56f9b26d3f4b6fddc96654f16225b9ffbd618ee120bcdafdc156d2b40ee73,C4,completed_boundary_164_full_h,,"{""hi"":[[1.715090346346405,2.0567700593745704]],""hi_hex"":[[""0x1.b71029333e3d4p+0"",""0x1.07443dc633efep+1""]],""lo"":[[1.4226160336150466,1.6878826616732097]],""lo_hex"":[[""0x1.6c30907b24511p+0"",""0x1.b01913ff5f32cp+0""]],""width"":[[0.29247431273135827,0.3688873977013607]]}",recorded
