step,published_and_schedule_exact,actual_pre_reset_retained_state_exact,actual_post_reset_equals_next_copied_prestate,queue_J_size_pre_reset,queue_Phi_L_size_pre_reset
888,True,True,True,88,88
889,True,True,True,89,89
890,True,True,True,90,90
891,True,True,True,91,91
892,True,True,True,92,92
893,True,True,True,93,93
894,True,True,True,94,94
895,True,True,True,95,95
896,True,True,True,96,96
897,True,True,True,97,97
898,True,True,True,98,98
899,True,True,True,99,99
900,True,True,True,100,100
901,True,True,True,1,1
902,True,True,True,2,2
903,True,True,True,3,3
904,True,True,True,4,4
905,True,True,True,5,5
906,True,True,True,6,6
907,True,True,True,7,7
908,True,True,True,8,8
909,True,True,True,9,9
910,True,True,True,10,10
911,True,True,True,11,11
912,True,True,True,12,12
913,True,True,True,13,13
914,True,True,True,14,14
915,True,True,True,15,15
916,True,True,True,16,16
917,True,True,True,17,17
918,True,True,True,18,18
919,True,True,True,19,19
920,True,True,True,20,20
921,True,True,True,21,21
922,True,True,True,22,22
923,True,True,True,23,23
924,True,True,True,24,24
925,True,True,True,25,25
926,True,True,True,26,26
927,True,True,True,27,27
928,True,True,True,28,28
929,True,True,True,29,29
930,True,True,True,30,30
931,True,True,True,31,31
932,True,True,True,32,32
933,True,True,True,33,33
934,True,True,True,34,34
935,True,True,True,35,35
936,True,True,True,36,36
937,True,True,True,37,37
938,True,True,True,38,38
939,True,True,True,39,39
940,True,True,True,40,40
941,True,True,True,41,41
942,True,True,True,42,42
943,True,True,True,43,43
944,True,True,True,44,44
945,True,True,True,45,45
946,True,True,True,46,46
947,True,True,True,47,47
948,True,True,True,48,48
949,True,True,True,49,49
950,True,True,True,50,50
951,True,True,True,51,51
952,True,True,True,52,52
953,True,True,True,53,53
954,True,True,True,54,54
955,True,True,True,55,55
956,True,True,True,56,56
957,True,True,True,57,57
958,True,True,True,58,58
959,True,True,True,59,59
960,True,True,True,60,60
961,True,True,True,61,61
962,True,True,True,62,62
963,True,True,True,63,63
964,True,True,True,64,64
965,True,True,True,65,65
966,True,True,True,66,66
967,True,True,True,67,67
968,True,True,True,68,68
969,True,True,True,69,69
970,True,True,True,70,70
971,True,True,True,71,71
972,True,True,True,72,72
973,True,True,True,73,73
974,True,True,True,74,74
975,True,True,True,75,75
976,True,True,True,76,76
977,True,True,True,77,77
978,True,True,True,78,78
979,True,True,True,79,79
980,True,True,True,80,80
981,True,True,True,81,81
982,True,True,True,82,82
983,True,True,True,83,83
984,True,True,True,84,84
985,True,True,True,85,85
986,True,True,True,86,86
987,True,True,True,87,87
988,True,True,True,88,88
989,True,True,True,89,89
990,True,True,True,90,90
991,True,True,True,91,91
992,True,True,True,92,92
993,True,True,True,93,93
994,True,True,True,94,94
995,True,True,True,95,95
996,True,True,True,96,96
997,True,True,True,97,97
998,True,True,True,98,98
999,True,True,True,99,99
1000,True,True,,100,100
